Ano de eleição,Município,UF,Região,Nome candidato,Votos válidos,Votos nominais,Estado_Municipio,Código SUS,Cobertura Vacinal 2015,Cobertura Vacinal 2016,Cobertura Vacinal 2017,Cobertura Vacinal 2018,Cobertura Vacinal 2019,Cobertura Vacinal 2020,Cobertura Vacinal 2021,Cobertura Vacinal 2022
2018,MACEIO,AL,NORDESTE,JAIR MESSIAS BOLSONARO,434865,268027,AL-MACEIO,270430,119.11,132.94,133.94,106.81,89.16,88.34,84.95,103.84
2018,MAJOR ISIDORO,AL,NORDESTE,FERNANDO HADDAD,9643,7264,AL-MAJOR ISIDORO,270440,101.79,85.56,101.41,86.25,48.85,56.15,87.11,104.94
2018,MAR VERMELHO,AL,NORDESTE,FERNANDO HADDAD,2351,1788,AL-MAR VERMELHO,270490,115.15,83.87,96.77,91.18,50.0,97.22,109.09,109.52
2018,MARAGOGI,AL,NORDESTE,JAIR MESSIAS BOLSONARO,13727,7462,AL-MARAGOGI,270450,91.63,133.05,141.63,134.84,98.38,82.19,74.66,100.51
2018,MARAVILHA,AL,NORDESTE,FERNANDO HADDAD,5151,4341,AL-MARAVILHA,270460,100.0,87.59,94.89,171.79,43.29,58.54,40.46,147.62
2018,MARECHAL DEODORO,AL,NORDESTE,JAIR MESSIAS BOLSONARO,24720,14007,AL-MARECHAL DEODORO,270470,97.37,63.28,94.04,106.49,83.77,66.45,64.47,116.89
2018,MARIBONDO,AL,NORDESTE,FERNANDO HADDAD,6684,4667,AL-MARIBONDO,270480,62.88,91.53,109.6,155.62,85.87,61.41,85.71,116.97
2018,MATA GRANDE,AL,NORDESTE,FERNANDO HADDAD,11095,9558,AL-MATA GRANDE,270500,53.57,56.13,107.9,120.88,51.0,22.92,43.88,77.26
2018,MATRIZ DE CAMARAGIBE,AL,NORDESTE,FERNANDO HADDAD,12092,6213,AL-MATRIZ DE CAMARAGIBE,270510,100.68,88.58,87.72,123.06,100.25,54.45,58.4,60.86
2018,MESSIAS,AL,NORDESTE,FERNANDO HADDAD,8782,5415,AL-MESSIAS,270520,69.44,90.48,112.3,116.67,99.29,61.79,57.25,65.66
2018,MINADOR DO NEGRAO,AL,NORDESTE,FERNANDO HADDAD,3198,2607,AL-MINADOR DO NEGRAO,270530,60.0,92.59,60.49,160.0,43.06,58.33,56.0,140.0
2018,MONTEIROPOLIS,AL,NORDESTE,FERNANDO HADDAD,3821,3247,AL-MONTEIROPOLIS,270540,161.67,94.85,117.65,142.72,145.54,77.68,134.86,168.27
2018,MURICI,AL,NORDESTE,FERNANDO HADDAD,12549,7965,AL-MURICI,270550,91.14,97.43,87.34,121.43,84.68,103.63,67.11,132.56
2018,NOVO LINO,AL,NORDESTE,FERNANDO HADDAD,5341,3108,AL-NOVO LINO,270560,79.75,134.52,80.95,102.05,67.07,52.69,101.46,78.52
