Ano de eleição;Município;UF;Região;Turno;Nome candidato;Cargo;Votos válidos;Votos nominais;Data de carga
2018;GOUVEIA;MG;SUDESTE;2;ANTONIO AUGUSTO JUNHO ANASTASIA;Governador;5576;1549;2023-03-31 10:03:12
2018;NOVA BELÉM;MG;SUDESTE;2;ROMEU ZEMA NETO;Governador;2000;1487;2023-03-31 10:03:12
2018;CALDAS NOVAS;GO;CENTRO-OESTE;2;FERNANDO HADDAD;Presidente;41550;11573;2023-03-31 10:03:12
2018;ITARARÉ;SP;SUDESTE;2;JOÃO AGRIPINO DA COSTA DORIA JUNIOR;Governador;21933;14049;2023-03-31 10:03:12
2018;RIACHO FRIO;PI;NORDESTE;2;FERNANDO HADDAD;Presidente;2901;2586;2023-03-31 10:03:12
2018;MANICORÉ;AM;NORTE;2;FERNANDO HADDAD;Presidente;17559;12543;2023-03-31 10:03:12
2018;MONTE ALEGRE;PA;NORTE;2;HELDER ZAHLUTH BARBALHO;Governador;30883;19951;2023-03-31 10:03:12
2018;DOBRADA;SP;SUDESTE;2;JOÃO AGRIPINO DA COSTA DORIA JUNIOR;Governador;3856;1636;2023-03-31 10:03:12
2018;CAMPO REDONDO;RN;NORDESTE;2;JAIR MESSIAS BOLSONARO;Presidente;5629;810;2023-03-31 10:03:12
2018;ORTIGUEIRA;PR;SUL;2;FERNANDO HADDAD;Presidente;13235;7725;2023-03-31 10:03:12
2018;TUPANDI;RS;SUL;2;EDUARDO FIGUEIREDO CAVALHEIRO LEITE;Governador;3129;1345;2023-03-31 10:03:12
2018;ANCHIETA;SC;SUL;2;FERNANDO HADDAD;Presidente;3828;1801;2023-03-31 10:03:12
2018;ÁUREA;RS;SUL;2;EDUARDO FIGUEIREDO CAVALHEIRO LEITE;Governador;2371;1270;2023-03-31 10:03:12
2018;BORRAZÓPOLIS;PR;SUL;2;FERNANDO HADDAD;Presidente;4757;1776;2023-03-31 10:03:12
2018;SALTINHO;SC;SUL;2;GELSON LUIZ MERÍSIO;Governador;1968;969;2023-03-31 10:03:12
2018;CRISTIANO OTONI;MG;SUDESTE;2;ANTONIO AUGUSTO JUNHO ANASTASIA;Governador;2580;571;2023-03-31 10:03:12
2018;GANDU;BA;NORDESTE;2;JAIR MESSIAS BOLSONARO;Presidente;14962;5526;2023-03-31 10:03:12
2018;MACUCO;RJ;SUDESTE;2;JAIR MESSIAS BOLSONARO;Presidente;4696;2881;2023-03-31 10:03:12
2018;CONGO;PB;NORDESTE;2;FERNANDO HADDAD;Presidente;3699;3086;2023-03-31 10:03:12
2018;SÃO FRANCISCO DE PAULA;MG;SUDESTE;2;ANTONIO AUGUSTO JUNHO ANASTASIA;Governador;3546;989;2023-03-31 10:03:12
2018;PEDRA BRANCA DO AMAPARI;AP;NORTE;2;FERNANDO HADDAD;Presidente;5551;3317;2023-03-31 10:03:12
2018;FREI GASPAR;MG;SUDESTE;2;FERNANDO HADDAD;Presidente;2845;2048;2023-03-31 10:03:12
2018;ÓBIDOS;PA;NORTE;2;JAIR MESSIAS BOLSONARO;Presidente;23298;6781;2023-03-31 10:03:12
2018;LAGOA DA PRATA;MG;SUDESTE;2;JAIR MESSIAS BOLSONARO;Presidente;23730;17088;2023-03-31 10:03:12
2018;BERIZAL;MG;SUDESTE;2;JAIR MESSIAS BOLSONARO;Presidente;2415;647;2023-03-31 10:03:12
2018;RIO BRANCO DO SUL;PR;SUL;2;JAIR MESSIAS BOLSONARO;Presidente;19768;10317;2023-03-31 10:03:12
2018;ABREULÂNDIA;TO;NORTE;2;FERNANDO HADDAD;Presidente;1398;856;2023-03-31 10:03:12
2018;IPUÃ;SP;SUDESTE;2;MARCIO LUIZ FRANÇA GOMES;Governador;6923;3909;2023-03-31 10:03:12
2018;PIAÇABUÇU;AL;NORDESTE;2;JAIR MESSIAS BOLSONARO;Presidente;8376;2306;2023-03-31 10:03:12
2018;ITABORAÍ;RJ;SUDESTE;2;EDUARDO DA COSTA PAES;Governador;105567;31827;2023-03-31 10:03:12
2018;ARAMBARÉ;RS;SUL;2;JAIR MESSIAS BOLSONARO;Presidente;2311;1437;2023-03-31 10:03:12
2018;ANTÔNIO CARLOS;SC;SUL;2;FERNANDO HADDAD;Presidente;6444;833;2023-03-31 10:03:12
2018;SENADOR SALGADO FILHO;RS;SUL;2;JOSÉ IVO SARTORI;Governador;2105;1069;2023-03-31 10:03:12
2018;SEM PEIXE;MG;SUDESTE;2;FERNANDO HADDAD;Presidente;1786;1213;2023-03-31 10:03:12
2018;ITIRAPUÃ;SP;SUDESTE;2;MARCIO LUIZ FRANÇA GOMES;Governador;3094;1806;2023-03-31 10:03:12
2018;NARANDIBA;SP;SUDESTE;2;JAIR MESSIAS BOLSONARO;Presidente;2865;1601;2023-03-31 10:03:12
2018;SÃO JOSÉ DA BARRA;MG;SUDESTE;2;ROMEU ZEMA NETO;Governador;3745;3034;2023-03-31 10:03:12
2018;PARIPIRANGA;BA;NORDESTE;2;FERNANDO HADDAD;Presidente;16547;13786;2023-03-31 10:03:12
2018;SANTOS;SP;SUDESTE;2;JOÃO AGRIPINO DA COSTA DORIA JUNIOR;Governador;232379;116181;2023-03-31 10:03:12
