Nome Município,Código,2015,2016,2017,2018,2019,2020,2021,2022,Estado,Estado_Municipio
PRIMAVERA DE RONDONIA,110147,61.54,59.57,106.38,67.86,68.25,63.49,60.47,113.16,RO,RO-PRIMAVERA DE RONDONIA
SAO FELIPE D'OESTE,110148,114.75,49.15,105.08,90.74,65.33,69.33,64.81,73.85,RO,RO-SAO FELIPE D'OESTE
SAO FRANCISCO DO GUAPORE,110149,126.69,112.66,153.25,84.92,82.28,61.56,73.93,105.64,RO,RO-SAO FRANCISCO DO GUAPORE
SERINGUEIRAS,110150,103.8,108.24,146.47,73.1,66.49,65.96,82.74,93.83,RO,RO-SERINGUEIRAS
TEIXEIROPOLIS,110155,105.0,101.45,107.25,100.0,112.07,74.14,82.81,157.14,RO,RO-TEIXEIROPOLIS
THEOBROMA,110160,118.87,125.6,244.0,161.83,62.33,47.95,26.8,77.39,RO,RO-THEOBROMA
URUPA,110170,93.33,104.1,101.64,82.67,102.67,74.0,57.65,78.32,RO,RO-URUPA
VALE DO ANARI,110175,94.38,29.69,64.84,76.36,132.56,54.65,48.39,98.61,RO,RO-VALE DO ANARI
VALE DO PARAISO,110180,52.34,106.67,117.78,108.16,118.99,59.49,37.04,120.97,RO,RO-VALE DO PARAISO
ACRELANDIA,120001,39.3,10.82,32.46,38.29,36.72,35.16,44.75,37.55,AC,AC-ACRELANDIA
ASSIS BRASIL,120005,46.67,53.37,94.82,108.95,79.84,52.42,65.41,86.98,AC,AC-ASSIS BRASIL
BRASILEIA,120010,108.52,69.1,82.27,97.76,86.67,71.23,51.3,80.27,AC,AC-BRASILEIA
BUJARI,120013,107.92,58.68,113.64,65.73,24.43,15.64,29.18,87.55,AC,AC-BUJARI
CAPIXABA,120017,112.5,64.53,29.06,29.38,20.16,20.58,44.7,41.58,AC,AC-CAPIXABA
CRUZEIRO DO SUL,120020,127.51,89.87,79.53,105.22,85.33,38.36,59.15,124.07,AC,AC-CRUZEIRO DO SUL
EPITACIOLANDIA,120025,20.73,43.89,95.8,69.26,78.69,39.18,70.38,83.96,AC,AC-EPITACIOLANDIA
FEIJO,120030,73.44,88.86,85.19,99.76,85.59,68.31,69.8,58.81,AC,AC-FEIJO
JORDAO,120032,59.41,90.04,88.61,76.92,61.28,81.2,94.95,81.46,AC,AC-JORDAO
MANCIO LIMA,120033,105.51,89.35,89.1,129.23,129.89,51.96,54.78,79.29,AC,AC-MANCIO LIMA
