Nome Município,Código,2015,2016,2017,2018,2019,2020,2021,2022,Estado,Estado_Municipio
PEDRO VELHO,240980,65.81,17.14,77.71,106.53,72.13,97.81,81.98,111.46,RN,RN-PEDRO VELHO
PENDENCIAS,240990,201.18,34.85,46.46,54.62,81.88,117.45,133.33,189.61,RN,RN-PENDENCIAS
PILOES,241000,95.83,84.62,107.69,145.45,153.85,117.95,41.18,94.59,RN,RN-PILOES
POCO BRANCO,241010,39.73,32.04,19.34,38.1,62.42,86.67,94.19,153.59,RN,RN-POCO BRANCO
PORTALEGRE,241020,102.41,81.65,76.15,74.31,107.0,33.0,34.82,97.44,RN,RN-PORTALEGRE
PORTO DO MANGUE,241025,72.13,28.77,32.88,54.22,90.0,88.89,84.81,82.72,RN,RN-PORTO DO MANGUE
SERRA CAIADA,241030,12.96,0.0,50.99,83.69,23.12,23.12,37.72,92.36,RN,RN-SERRA CAIADA
PUREZA,241040,43.41,7.84,18.95,54.37,57.35,66.18,102.42,126.61,RN,RN-PUREZA
RAFAEL FERNANDES,241050,56.92,26.87,67.16,103.92,113.11,134.43,78.12,56.06,RN,RN-RAFAEL FERNANDES
RAFAEL GODEIRO,241060,131.43,48.28,89.66,131.58,60.0,60.0,145.45,69.77,RN,RN-RAFAEL GODEIRO
RIACHO DA CRUZ,241070,59.52,47.06,70.59,120.59,217.24,110.34,54.76,100.0,RN,RN-RIACHO DA CRUZ
RIACHO DE SANTANA,241080,120.0,93.18,115.91,102.08,72.73,20.0,69.77,136.84,RN,RN-RIACHO DE SANTANA
RIACHUELO,241090,37.07,17.53,68.04,69.0,29.79,39.36,61.17,153.33,RN,RN-RIACHUELO
RODOLFO FERNANDES,241100,152.24,38.03,71.83,94.83,68.18,59.09,55.77,51.9,RN,RN-RODOLFO FERNANDES
TIBAU,241105,19.4,13.16,42.11,53.75,105.63,104.23,111.27,134.52,RN,RN-TIBAU
RUY BARBOSA,241110,0.0,0.0,44.12,93.94,23.08,33.33,23.08,41.51,RN,RN-RUY BARBOSA
SANTA CRUZ,241120,357.58,245.3,66.67,100.16,415.45,406.04,497.54,337.83,RN,RN-SANTA CRUZ
SANTANA DO MATOS,241140,57.82,51.13,34.59,71.82,99.07,105.56,78.12,132.23,RN,RN-SANTANA DO MATOS
SANTANA DO SERIDO,241142,103.23,122.22,107.41,192.31,96.55,82.76,64.0,88.57,RN,RN-SANTANA DO SERIDO
SANTO ANTONIO,241150,142.42,81.63,56.02,98.77,101.47,104.04,106.39,118.18,RN,RN-SANTO ANTONIO
SAO BENTO DO NORTE,241160,139.02,105.26,26.32,134.29,104.55,95.45,114.81,97.67,RN,RN-SAO BENTO DO NORTE
SAO BENTO DO TRAIRI,241170,0.0,0.0,63.38,136.59,18.03,6.56,20.83,55.0,RN,RN-SAO BENTO DO TRAIRI
SAO FERNANDO,241180,0.0,0.0,11.36,117.24,75.68,56.76,89.74,96.97,RN,RN-SAO FERNANDO
SAO FRANCISCO DO OESTE,241190,98.33,100.0,76.19,60.98,51.79,75.0,82.0,32.47,RN,RN-SAO FRANCISCO DO OESTE
SAO GONCALO DO AMARANTE,241200,56.62,70.83,47.58,71.46,44.3,53.04,88.87,101.48,RN,RN-SAO GONCALO DO AMARANTE
SAO JOAO DO SABUGI,241210,51.67,33.33,19.3,86.36,74.63,26.87,114.04,81.48,RN,RN-SAO JOAO DO SABUGI
SAO JOSE DE MIPIBU,241220,384.77,110.68,160.0,114.9,93.48,104.58,104.96,105.48,RN,RN-SAO JOSE DE MIPIBU
SAO JOSE DO CAMPESTRE,241230,25.81,4.14,53.25,96.35,23.13,19.05,21.62,67.97,RN,RN-SAO JOSE DO CAMPESTRE
SAO JOSE DO SERIDO,241240,2.04,0.0,10.17,118.42,89.83,42.37,107.84,82.76,RN,RN-SAO JOSE DO SERIDO
SAO MIGUEL,241250,95.59,59.19,68.85,89.83,65.05,62.04,94.41,109.9,RN,RN-SAO MIGUEL
SAO MIGUEL DO GOSTOSO,241255,56.25,54.29,3.81,38.57,121.82,129.09,86.76,99.31,RN,RN-SAO MIGUEL DO GOSTOSO
SAO PAULO DO POTENGI,241260,59.91,21.12,54.31,95.43,45.81,33.99,43.96,73.63,RN,RN-SAO PAULO DO POTENGI
SAO PEDRO,241270,0.0,0.0,69.12,98.48,25.97,20.78,23.68,17.02,RN,RN-SAO PEDRO
SAO RAFAEL,241280,86.9,68.24,15.29,32.29,111.43,171.43,178.95,238.67,RN,RN-SAO RAFAEL
SAO TOME,241290,16.54,0.0,47.86,75.21,17.95,20.51,33.33,115.09,RN,RN-SAO TOME
SAO VICENTE,241300,18.64,0.0,17.33,107.41,49.21,50.79,13.85,53.62,RN,RN-SAO VICENTE
SENADOR ELOI DE SOUZA,241310,1.41,0.0,53.57,71.91,23.46,17.28,21.35,36.36,RN,RN-SENADOR ELOI DE SOUZA
SENADOR GEORGINO AVELINO,241320,79.69,111.67,135.0,96.97,95.52,98.51,87.95,171.43,RN,RN-SENADOR GEORGINO AVELINO
SERRA DE SAO BENTO,241330,30.93,18.29,76.83,98.68,43.68,24.14,17.2,113.24,RN,RN-SERRA DE SAO BENTO
SERRA DO MEL,241335,25.35,12.15,10.28,16.27,119.28,115.66,77.25,119.43,RN,RN-SERRA DO MEL
SERRA NEGRA DO NORTE,241340,30.34,12.94,72.94,86.08,100.0,56.1,81.01,93.67,RN,RN-SERRA NEGRA DO NORTE
SERRINHA,241350,23.15,0.0,53.4,83.33,60.47,93.02,104.11,83.52,RN,RN-SERRINHA
SERRINHA DOS PINTOS,241355,121.43,67.74,72.58,118.6,150.0,109.09,79.03,124.49,RN,RN-SERRINHA DOS PINTOS
SEVERIANO MELO,241360,73.68,64.44,85.56,90.7,82.76,81.61,92.42,80.77,RN,RN-SEVERIANO MELO
SITIO NOVO,241370,0.0,0.0,54.1,114.29,27.45,56.86,82.76,125.42,RN,RN-SITIO NOVO
TABOLEIRO GRANDE,241380,63.33,111.11,114.81,118.52,100.0,29.73,62.86,87.5,RN,RN-TABOLEIRO GRANDE
TAIPU,241390,53.07,28.32,66.47,64.15,89.39,62.12,88.37,120.47,RN,RN-TAIPU
TANGARA,241400,3.07,0.0,51.68,91.24,19.14,32.54,68.24,77.27,RN,RN-TANGARA
TENENTE ANANIAS,241410,119.08,71.95,77.44,120.97,115.15,93.18,68.71,73.15,RN,RN-TENENTE ANANIAS
TENENTE LAURENTINO CRUZ,241415,95.56,47.13,133.33,117.2,56.73,24.04,40.79,32.5,RN,RN-TENENTE LAURENTINO CRUZ
TIBAU DO SUL,241420,49.69,20.89,33.78,63.31,67.09,81.62,104.04,167.4,RN,RN-TIBAU DO SUL
TIMBAUBA DOS BATISTAS,241430,0.0,0.0,6.06,121.05,60.87,26.09,146.67,100.0,RN,RN-TIMBAUBA DOS BATISTAS
TOUROS,241440,58.37,23.06,23.26,13.4,20.88,65.55,89.27,127.03,RN,RN-TOUROS
TRIUNFO POTIGUAR,241445,109.52,125.0,55.77,43.75,77.36,86.79,86.36,180.43,RN,RN-TRIUNFO POTIGUAR
UMARIZAL,241450,79.46,39.34,54.92,101.06,60.19,37.04,104.21,131.11,RN,RN-UMARIZAL
UPANEMA,241460,41.75,26.49,30.81,60.51,137.5,107.64,66.67,138.96,RN,RN-UPANEMA
VARZEA,241470,0.0,0.0,32.65,63.08,84.21,89.47,84.42,138.6,RN,RN-VARZEA
VENHA-VER,241475,92.16,61.54,61.54,121.28,106.82,79.55,34.69,98.08,RN,RN-VENHA-VER
VERA CRUZ,241480,12.27,0.0,30.12,61.21,65.09,101.78,112.12,122.56,RN,RN-VERA CRUZ
VICOSA,241490,127.59,125.81,64.52,92.31,106.67,120.0,136.36,165.0,RN,RN-VICOSA
VILA FLOR,241500,14.04,0.0,48.89,68.75,46.77,93.55,167.5,142.59,RN,RN-VILA FLOR
AGUA BRANCA,250010,65.91,51.04,56.25,55.88,43.52,85.19,55.74,120.16,PB,PB-AGUA BRANCA
AGUIAR,250020,101.85,103.03,69.7,46.97,54.24,128.81,68.89,84.21,PB,PB-AGUIAR
ALAGOA GRANDE,250030,95.8,96.15,98.63,96.44,100.28,119.05,91.13,126.59,PB,PB-ALAGOA GRANDE
ALAGOA NOVA,250040,62.92,56.85,67.26,73.86,73.11,91.84,81.33,143.84,PB,PB-ALAGOA NOVA
ALAGOINHA,250050,80.0,58.33,82.92,100.42,67.8,45.76,73.49,152.55,PB,PB-ALAGOINHA
ALCANTIL,250053,38.64,53.51,51.75,29.01,21.58,57.55,84.27,109.3,PB,PB-ALCANTIL
ALGODAO DE JANDAIRA,250057,51.28,44.74,68.42,50.0,94.12,50.98,72.13,148.57,PB,PB-ALGODAO DE JANDAIRA
ALHANDRA,250060,0.0,0.7,3.74,3.43,4.42,13.72,62.13,119.18,PB,PB-ALHANDRA
SAO JOAO DO RIO DO PEIXE,250070,9.63,20.79,17.33,12.5,5.88,10.16,16.38,77.22,PB,PB-SAO JOAO DO RIO DO PEIXE
AMPARO,250073,0.0,0.0,56.41,76.32,82.35,23.53,8.11,41.94,PB,PB-AMPARO
APARECIDA,250077,111.88,71.19,69.49,150.53,105.56,101.39,42.17,156.58,PB,PB-APARECIDA
ARACAGI,250080,97.0,79.82,24.56,51.42,25.74,52.48,76.5,77.18,PB,PB-ARACAGI
ARARA,250090,61.59,20.45,69.7,96.43,97.2,78.5,35.43,90.07,PB,PB-ARARA
ARARUNA,250100,58.49,13.33,42.5,46.28,83.57,76.06,55.64,141.59,PB,PB-ARARUNA
AREIA,250110,47.51,46.3,68.77,72.39,77.65,85.47,40.97,96.35,PB,PB-AREIA
AREIA DE BARAUNAS,250115,15.15,9.52,61.9,22.58,0.0,8.11,15.38,147.83,PB,PB-AREIA DE BARAUNAS
AREIAL,250120,44.33,20.33,44.72,66.04,80.19,96.23,80.39,81.25,PB,PB-AREIAL
AROEIRAS,250130,48.61,49.42,57.85,85.87,66.25,74.76,58.46,116.24,PB,PB-AROEIRAS
ASSUNCAO,250135,44.78,77.61,86.57,120.0,100.0,58.46,76.19,89.86,PB,PB-ASSUNCAO
BAIA DA TRAICAO,250140,45.21,47.83,66.46,55.47,40.35,9.36,65.38,59.88,PB,PB-BAIA DA TRAICAO
BANANEIRAS,250150,51.94,62.34,53.9,57.24,39.72,75.96,85.17,167.63,PB,PB-BANANEIRAS
BARAUNA,250153,13.85,22.06,54.41,65.96,35.94,25.0,4.41,13.46,PB,PB-BARAUNA
BARRA DE SANTANA,250157,27.62,35.71,38.78,45.61,50.0,90.0,84.31,104.08,PB,PB-BARRA DE SANTANA
BARRA DE SANTA ROSA,250160,104.71,124.83,128.28,131.16,109.35,100.72,124.03,96.0,PB,PB-BARRA DE SANTA ROSA
BARRA DE SAO MIGUEL,250170,1.16,2.9,2.9,9.09,74.7,102.41,53.33,91.75,PB,PB-BARRA DE SAO MIGUEL
BAYEUX,250180,62.51,68.97,67.54,70.76,65.64,24.8,67.37,68.87,PB,PB-BAYEUX
BELEM,250190,32.08,20.68,26.16,37.98,49.48,76.56,53.78,96.17,PB,PB-BELEM
BELEM DO BREJO DO CRUZ,250200,71.15,84.09,117.05,11.49,28.57,40.0,9.59,46.15,PB,PB-BELEM DO BREJO DO CRUZ
BERNARDINO BATISTA,250205,8.51,6.45,9.68,5.45,0.0,0.0,30.23,135.0,PB,PB-BERNARDINO BATISTA
BOA VENTURA,250210,148.0,97.22,100.0,94.19,105.49,132.97,68.63,92.05,PB,PB-BOA VENTURA
BOA VISTA,250215,0.0,0.0,1.87,52.81,95.0,69.0,40.59,93.51,PB,PB-BOA VISTA
BOM JESUS,250220,0.0,0.0,2.86,0.0,0.0,2.5,4.17,45.95,PB,PB-BOM JESUS
BOM SUCESSO,250230,100.0,100.0,78.18,40.82,36.96,50.0,13.16,76.6,PB,PB-BOM SUCESSO
BONITO DE SANTA FE,250240,34.19,25.43,15.61,23.13,0.0,3.08,6.1,78.38,PB,PB-BONITO DE SANTA FE
BOQUEIRAO,250250,44.49,32.77,49.32,89.39,95.55,86.64,71.64,98.95,PB,PB-BOQUEIRAO
IGARACY,250260,138.24,60.22,93.55,125.37,126.42,79.25,70.67,112.16,PB,PB-IGARACY
BORBOREMA,250270,19.72,14.71,36.76,41.38,50.0,63.89,71.23,109.72,PB,PB-BORBOREMA
BREJO DO CRUZ,250280,117.42,95.27,94.67,81.03,95.39,73.68,54.97,120.77,PB,PB-BREJO DO CRUZ
BREJO DOS SANTOS,250290,100.0,134.72,144.44,49.49,37.66,55.84,4.94,37.68,PB,PB-BREJO DOS SANTOS
CAAPORA,250300,33.18,12.06,13.32,9.11,5.78,44.47,77.38,81.79,PB,PB-CAAPORA
CABACEIRAS,250310,91.43,96.92,87.69,100.0,88.14,100.0,30.88,71.79,PB,PB-CABACEIRAS
CABEDELO,250320,29.64,42.72,46.47,34.49,45.3,59.24,74.82,85.46,PB,PB-CABEDELO
CACHOEIRA DOS INDIOS,250330,8.15,15.75,7.87,6.2,0.0,0.0,14.78,45.58,PB,PB-CACHOEIRA DOS INDIOS
CACIMBA DE AREIA,250340,0.0,0.0,10.91,3.85,9.3,6.98,0.0,3.85,PB,PB-CACIMBA DE AREIA
CACIMBA DE DENTRO,250350,69.23,77.63,81.74,82.69,49.33,69.51,84.82,95.38,PB,PB-CACIMBA DE DENTRO
CACIMBAS,250355,34.59,38.57,25.71,10.85,17.07,3.05,14.01,82.99,PB,PB-CACIMBAS
CAICARA,250360,17.14,22.22,14.53,34.38,38.96,107.79,90.43,114.81,PB,PB-CAICARA
CAJAZEIRAS,250370,233.41,225.21,228.42,265.49,250.65,256.87,235.08,242.64,PB,PB-CAJAZEIRAS
CAJAZEIRINHAS,250375,86.21,75.93,94.44,102.38,90.2,66.67,97.92,82.0,PB,PB-CAJAZEIRINHAS
CALDAS BRANDAO,250380,57.47,18.35,40.37,74.7,83.33,26.92,20.95,127.78,PB,PB-CALDAS BRANDAO
CAMALAU,250390,87.06,71.59,94.32,126.03,86.05,47.67,36.36,46.24,PB,PB-CAMALAU
CAMPINA GRANDE,250400,90.32,118.05,102.83,104.35,91.39,56.65,45.3,73.21,PB,PB-CAMPINA GRANDE
CAPIM,250403,62.86,61.62,77.78,65.74,41.44,11.71,82.88,50.94,PB,PB-CAPIM
CARAUBAS,250407,35.59,0.0,61.36,66.67,39.22,35.29,14.06,12.5,PB,PB-CARAUBAS
CARRAPATEIRA,250410,63.64,15.79,73.68,22.22,3.12,0.0,3.33,81.25,PB,PB-CARRAPATEIRA
CASSERENGUE,250415,91.36,97.8,84.62,68.04,63.11,66.02,68.0,117.33,PB,PB-CASSERENGUE
CATINGUEIRA,250420,27.87,29.82,8.77,13.24,17.54,12.28,19.64,70.49,PB,PB-CATINGUEIRA
CATOLE DO ROCHA,250430,99.74,86.81,129.63,110.28,159.43,93.02,34.92,88.72,PB,PB-CATOLE DO ROCHA
CATURITE,250435,50.0,64.18,58.21,66.23,135.82,128.36,62.35,94.62,PB,PB-CATURITE
CONCEICAO,250440,54.33,73.63,57.88,68.6,74.77,72.97,27.66,67.05,PB,PB-CONCEICAO
CONDADO,250450,30.0,38.64,17.05,14.81,38.82,7.06,12.9,91.55,PB,PB-CONDADO
CONDE,250460,10.02,6.15,3.96,4.78,8.05,27.96,58.58,99.6,PB,PB-CONDE
CONGO,250470,1.14,0.0,65.38,55.77,84.34,33.73,25.71,46.08,PB,PB-CONGO
COREMAS,250480,107.94,86.29,111.17,81.34,74.76,64.76,41.33,117.06,PB,PB-COREMAS
COXIXOLA,250485,0.0,0.0,19.05,33.33,26.09,26.09,24.0,25.0,PB,PB-COXIXOLA
CRUZ DO ESPIRITO SANTO,250490,52.11,30.43,65.7,65.85,47.99,19.81,38.89,87.42,PB,PB-CRUZ DO ESPIRITO SANTO
CUBATI,250500,59.8,48.6,62.62,83.87,81.52,126.09,96.15,80.0,PB,PB-CUBATI
CUITE,250510,108.63,23.83,69.14,88.07,90.87,112.17,65.13,69.6,PB,PB-CUITE
CUITEGI,250520,14.68,19.69,44.88,16.03,11.61,53.57,74.77,168.18,PB,PB-CUITEGI
CUITE DE MAMANGUAPE,250523,17.86,22.22,69.14,60.87,33.98,4.85,79.61,50.51,PB,PB-CUITE DE MAMANGUAPE
CURRAL DE CIMA,250527,103.95,62.0,110.0,73.24,45.07,28.17,95.52,42.35,PB,PB-CURRAL DE CIMA
CURRAL VELHO,250530,81.25,56.0,116.0,100.0,66.67,146.67,119.05,88.0,PB,PB-CURRAL VELHO
DAMIAO,250535,140.91,113.56,155.93,96.15,48.61,37.5,16.67,84.51,PB,PB-DAMIAO
DESTERRO,250540,56.52,85.09,56.14,41.54,45.45,67.27,34.48,76.98,PB,PB-DESTERRO
VISTA SERRANA,250550,2.38,72.92,75.0,94.23,108.11,5.41,2.44,128.21,PB,PB-VISTA SERRANA
DIAMANTE,250560,179.17,86.05,98.84,95.95,78.12,76.04,38.14,112.36,PB,PB-DIAMANTE
DONA INES,250570,27.07,17.79,12.27,16.33,14.38,54.79,93.33,139.13,PB,PB-DONA INES
DUAS ESTRADAS,250580,53.85,66.67,72.0,29.41,27.66,53.19,78.95,122.0,PB,PB-DUAS ESTRADAS
EMAS,250590,38.89,13.95,13.95,17.5,37.14,11.43,9.52,8.82,PB,PB-EMAS
ESPERANCA,250600,99.42,79.39,72.76,86.09,91.21,103.14,73.55,120.91,PB,PB-ESPERANCA
FAGUNDES,250610,27.89,23.44,17.19,43.56,59.12,46.41,28.25,81.5,PB,PB-FAGUNDES
FREI MARTINHO,250620,0.0,63.33,16.67,42.86,43.48,30.43,3.03,32.0,PB,PB-FREI MARTINHO
GADO BRAVO,250625,31.75,31.78,50.39,83.74,73.83,73.83,39.2,92.59,PB,PB-GADO BRAVO
GUARABIRA,250630,269.07,278.65,257.77,296.64,270.91,190.81,156.12,168.41,PB,PB-GUARABIRA
GURINHEM,250640,47.66,20.0,76.36,76.5,42.54,18.78,25.79,110.77,PB,PB-GURINHEM
GURJAO,250650,184.85,7.5,0.0,2.22,25.58,74.42,48.84,120.0,PB,PB-GURJAO
IBIARA,250660,68.66,78.46,67.69,70.0,59.7,80.6,116.67,92.41,PB,PB-IBIARA
IMACULADA,250670,41.43,130.46,31.13,13.14,32.33,20.3,13.58,78.06,PB,PB-IMACULADA
INGA,250680,2.47,25.97,116.88,111.95,76.45,70.65,62.35,128.63,PB,PB-INGA
ITABAIANA,250690,164.26,204.87,86.82,92.53,72.55,88.86,95.01,127.58,PB,PB-ITABAIANA
ITAPORANGA,250700,99.41,86.74,103.45,116.72,99.72,75.64,78.36,101.6,PB,PB-ITAPORANGA
ITAPOROROCA,250710,70.49,62.3,126.64,70.68,41.6,17.56,83.64,118.15,PB,PB-ITAPOROROCA
ITATUBA,250720,52.41,61.01,44.65,74.47,45.0,72.86,75.37,127.22,PB,PB-ITATUBA
JACARAU,250730,78.87,66.14,89.42,52.43,36.96,20.62,102.26,118.3,PB,PB-JACARAU
JERICO,250740,160.22,104.88,132.93,60.23,65.38,101.92,80.52,77.78,PB,PB-JERICO
JOAO PESSOA,250750,183.77,157.69,168.19,165.36,140.19,100.98,106.2,90.58,PB,PB-JOAO PESSOA
JUAREZ TAVORA,250760,0.0,0.0,18.75,2.27,20.37,65.74,41.88,65.18,PB,PB-JUAREZ TAVORA
JUAZEIRINHO,250770,73.58,38.17,66.86,104.53,79.22,68.83,77.59,114.64,PB,PB-JUAZEIRINHO
JUNCO DO SERIDO,250780,82.14,70.97,86.02,88.04,85.26,74.74,100.0,107.37,PB,PB-JUNCO DO SERIDO
JURIPIRANGA,250790,81.38,69.61,96.13,68.59,28.37,13.95,17.74,85.65,PB,PB-JURIPIRANGA
JURU,250800,166.95,119.83,92.24,115.38,148.18,30.0,26.4,97.67,PB,PB-JURU
LAGOA,250810,109.84,92.59,64.81,129.55,106.25,45.83,32.69,41.82,PB,PB-LAGOA
LAGOA DE DENTRO,250820,27.27,20.31,26.56,33.33,25.0,45.45,85.29,76.99,PB,PB-LAGOA DE DENTRO
LAGOA SECA,250830,30.79,59.49,88.86,106.67,105.16,86.98,67.87,104.4,PB,PB-LAGOA SECA
LASTRO,250840,95.56,129.55,118.18,95.83,40.0,36.36,55.26,51.79,PB,PB-LASTRO
LIVRAMENTO,250850,0.0,0.0,45.22,51.55,71.15,74.04,61.74,93.48,PB,PB-LIVRAMENTO
LOGRADOURO,250855,23.91,18.18,18.18,17.78,20.34,55.93,38.98,116.67,PB,PB-LOGRADOURO
LUCENA,250860,62.15,39.49,67.52,43.84,41.92,37.55,36.94,85.78,PB,PB-LUCENA
MAE D'AGUA,250870,25.58,16.28,11.63,5.77,6.98,11.63,46.81,83.02,PB,PB-MAE D'AGUA
MALTA,250880,1.16,0.0,1.15,1.45,4.35,5.8,3.7,72.94,PB,PB-MALTA
MAMANGUAPE,250890,47.26,55.38,105.93,86.54,52.96,5.41,74.82,54.83,PB,PB-MAMANGUAPE
MANAIRA,250900,91.72,91.08,89.17,113.61,47.11,28.93,1.87,109.27,PB,PB-MANAIRA
MARCACAO,250905,103.75,96.4,88.49,82.61,44.19,26.16,61.88,86.83,PB,PB-MARCACAO
MARI,250910,50.18,41.98,53.82,36.94,22.06,44.84,24.52,112.45,PB,PB-MARI
MARIZOPOLIS,250915,92.86,79.79,64.89,48.65,34.83,65.17,35.44,51.32,PB,PB-MARIZOPOLIS
MASSARANDUBA,250920,33.66,25.98,17.16,3.51,43.53,105.29,82.22,119.1,PB,PB-MASSARANDUBA
MATARACA,250930,41.01,12.5,62.5,48.77,38.69,13.1,80.84,95.68,PB,PB-MATARACA
MATINHAS,250933,35.19,17.07,43.9,64.29,50.0,47.67,22.39,97.18,PB,PB-MATINHAS
MATO GROSSO,250937,69.57,84.44,73.33,33.33,66.67,83.33,2.78,5.0,PB,PB-MATO GROSSO
MATUREIA,250939,40.96,15.24,20.0,13.98,23.08,26.92,8.04,66.1,PB,PB-MATUREIA
MOGEIRO,250940,99.44,60.0,26.36,46.39,54.59,89.19,42.55,105.24,PB,PB-MOGEIRO
MONTADAS,250950,64.89,43.96,46.15,123.53,84.69,100.0,87.8,144.9,PB,PB-MONTADAS
MONTE HOREBE,250960,92.54,31.88,47.83,14.52,57.14,0.0,0.0,0.0,PB,PB-MONTE HOREBE
MONTEIRO,250970,103.46,80.36,96.56,111.11,105.08,91.46,99.6,98.02,PB,PB-MONTEIRO
MULUNGU,250980,13.24,18.88,79.72,72.26,65.87,46.83,62.81,156.03,PB,PB-MULUNGU
NATUBA,250990,78.49,89.81,67.59,95.92,93.26,56.18,36.07,141.67,PB,PB-NATUBA
NAZAREZINHO,251000,83.96,72.9,49.53,103.45,39.39,54.55,50.62,50.56,PB,PB-NAZAREZINHO
NOVA FLORESTA,251010,8.84,32.65,80.95,42.86,50.59,62.35,83.19,56.82,PB,PB-NOVA FLORESTA
NOVA OLINDA,251020,52.63,128.85,80.77,47.06,72.0,54.67,92.11,102.86,PB,PB-NOVA OLINDA
NOVA PALMEIRA,251030,37.21,39.53,67.44,40.0,33.33,30.95,2.63,15.22,PB,PB-NOVA PALMEIRA
OLHO D'AGUA,251040,21.43,18.95,26.32,5.33,1.63,2.44,27.91,96.39,PB,PB-OLHO D'AGUA
OLIVEDOS,251050,72.0,49.02,45.1,54.17,19.51,36.59,52.63,136.84,PB,PB-OLIVEDOS
OURO VELHO,251060,84.62,13.51,102.7,182.14,71.43,64.29,36.59,16.67,PB,PB-OURO VELHO
PARARI,251065,0.0,0.0,23.81,46.67,31.82,45.45,50.0,133.33,PB,PB-PARARI
PASSAGEM,251070,4.88,8.82,2.94,10.34,5.0,5.0,5.26,67.74,PB,PB-PASSAGEM
PATOS,251080,271.56,199.03,266.15,295.23,205.25,13.7,21.31,113.22,PB,PB-PATOS
PAULISTA,251090,43.28,86.16,77.36,79.49,70.97,120.0,127.78,100.71,PB,PB-PAULISTA
PEDRA BRANCA,251100,100.0,76.19,82.54,85.0,70.18,36.84,101.79,114.04,PB,PB-PEDRA BRANCA
PEDRA LAVRADA,251110,76.19,80.43,98.91,106.41,103.75,76.25,82.67,86.49,PB,PB-PEDRA LAVRADA
PEDRAS DE FOGO,251120,56.89,51.61,62.84,53.24,42.8,2.03,37.3,61.39,PB,PB-PEDRAS DE FOGO
PIANCO,251130,141.29,127.75,136.42,226.85,119.77,189.83,120.39,122.73,PB,PB-PIANCO
PICUI,251140,280.23,150.57,171.1,148.47,122.05,158.66,126.27,116.34,PB,PB-PICUI
PILAR,251150,31.32,0.0,22.64,31.21,30.21,40.1,45.54,119.29,PB,PB-PILAR
PILOES,251160,32.14,14.71,21.32,24.46,20.0,56.8,52.71,58.67,PB,PB-PILOES
PILOEZINHOS,251170,32.47,22.73,13.64,28.95,7.37,75.79,143.43,183.78,PB,PB-PILOEZINHOS
PIRPIRITUBA,251180,116.41,44.81,36.36,43.59,11.54,55.38,77.24,117.48,PB,PB-PIRPIRITUBA
PITIMBU,251190,9.93,3.11,9.34,6.54,14.89,25.18,59.73,65.64,PB,PB-PITIMBU
POCINHOS,251200,40.93,36.45,54.85,47.65,56.57,84.86,84.67,122.78,PB,PB-POCINHOS
POCO DANTAS,251203,22.22,24.56,33.33,14.08,1.75,3.51,53.66,91.11,PB,PB-POCO DANTAS
POCO DE JOSE DE MOURA,251207,24.44,8.89,8.89,0.0,0.0,0.0,2.94,11.76,PB,PB-POCO DE JOSE DE MOURA
POMBAL,251210,145.66,104.91,114.02,141.75,107.99,109.82,108.19,100.97,PB,PB-POMBAL
PRATA,251220,75.93,66.67,125.0,81.48,92.45,96.23,74.47,80.0,PB,PB-PRATA
PRINCESA ISABEL,251230,102.05,118.27,83.65,75.56,87.3,89.68,50.0,145.45,PB,PB-PRINCESA ISABEL
PUXINANA,251240,85.85,95.5,94.59,113.43,100.95,88.57,60.75,68.42,PB,PB-PUXINANA
QUEIMADAS,251250,36.13,24.39,34.72,45.21,100.89,72.32,39.81,80.74,PB,PB-QUEIMADAS
QUIXABA,251260,9.09,0.0,0.0,3.85,0.0,7.41,4.0,86.21,PB,PB-QUIXABA
REMIGIO,251270,50.35,43.94,68.86,63.9,62.28,58.36,38.79,101.12,PB,PB-REMIGIO
PEDRO REGIS,251272,50.72,56.25,53.12,64.06,72.92,12.5,75.95,82.14,PB,PB-PEDRO REGIS
RIACHAO,251274,20.37,25.45,27.27,20.93,19.15,68.09,53.85,78.72,PB,PB-RIACHAO
RIACHAO DO BACAMARTE,251275,0.0,4.69,6.25,1.32,26.47,69.12,32.88,84.21,PB,PB-RIACHAO DO BACAMARTE
RIACHAO DO POCO,251276,33.87,34.0,34.0,53.85,26.47,38.24,24.71,41.67,PB,PB-RIACHAO DO POCO
RIACHO DE SANTO ANTONIO,251278,27.91,86.05,53.49,50.0,107.32,70.73,41.46,80.56,PB,PB-RIACHO DE SANTO ANTONIO
RIACHO DOS CAVALOS,251280,102.06,78.86,78.86,40.94,45.45,111.82,56.31,79.67,PB,PB-RIACHO DOS CAVALOS
RIO TINTO,251290,62.8,65.0,80.0,58.1,39.03,10.54,66.48,43.69,PB,PB-RIO TINTO
SALGADINHO,251300,54.76,44.44,35.56,25.64,29.73,2.7,83.33,91.89,PB,PB-SALGADINHO
SALGADO DE SAO FELIX,251310,44.04,2.27,18.94,14.89,29.23,16.15,19.5,111.11,PB,PB-SALGADO DE SAO FELIX
SANTA CECILIA,251315,143.68,99.0,60.0,111.25,66.67,97.92,118.89,150.43,PB,PB-SANTA CECILIA
SANTA CRUZ,251320,46.27,96.15,79.49,89.74,80.95,55.56,38.81,74.67,PB,PB-SANTA CRUZ
SANTA HELENA,251330,3.17,4.48,7.46,8.45,18.31,1.41,13.11,127.27,PB,PB-SANTA HELENA
SANTA INES,251335,52.73,36.73,4.08,2.04,0.0,9.3,28.12,126.83,PB,PB-SANTA INES
