Estado_Municipio,Região,UF,Município,Ano de eleição (2018),Nome candidato (2018),Votos válidos (2018),Votos nominais (2018),Ano de eleição (2022),Nome candidato (2022),Votos válidos (2022),Votos nominais (2022),Código SUS,Cobertura Vacinal 2015,Cobertura Vacinal 2016,Cobertura Vacinal 2017,Cobertura Vacinal 2018,Cobertura Vacinal 2019,Cobertura Vacinal 2020,Cobertura Vacinal 2021,Cobertura Vacinal 2022
MG-ALVORADA DE MINAS,SUDESTE,MG,ALVORADA DE MINAS,2018,FERNANDO HADDAD,2235,1662,2022,LUIZ INÁCIO LULA DA SILVA,2931,2159,310240,56.9,83.67,124.49,43.64,32.2,54.24,111.63,117.74
MG-AMPARO DO SERRA,SUDESTE,MG,AMPARO DO SERRA,2018,FERNANDO HADDAD,2978,2161,2022,LUIZ INÁCIO LULA DA SILVA,3438,2551,310250,54.55,116.36,147.27,93.33,52.31,64.62,108.57,110.42
MG-ANDRADAS,SUDESTE,MG,ANDRADAS,2018,JAIR MESSIAS BOLSONARO,20534,15971,2022,JAIR MESSIAS BOLSONARO,22305,13251,310260,186.85,113.97,94.68,98.76,86.39,107.1,95.51,109.3
MG-ANDRELANDIA,SUDESTE,MG,ANDRELANDIA,2018,JAIR MESSIAS BOLSONARO,5950,3252,2022,LUIZ INÁCIO LULA DA SILVA,6833,3718,310280,193.5,332.14,196.43,120.18,40.54,4.5,20.74,89.57
MG-ANGELANDIA,SUDESTE,MG,ANGELANDIA,2018,FERNANDO HADDAD,3423,1938,2022,LUIZ INÁCIO LULA DA SILVA,4428,2360,310285,38.14,58.57,73.57,84.62,104.85,89.32,111.22,130.48
MG-ANTONIO CARLOS,SUDESTE,MG,ANTONIO CARLOS,2018,FERNANDO HADDAD,6414,3626,2022,LUIZ INÁCIO LULA DA SILVA,7254,4576,310290,98.37,97.14,134.29,117.71,100.0,80.77,52.76,89.47
MG-ANTONIO DIAS,SUDESTE,MG,ANTONIO DIAS,2018,JAIR MESSIAS BOLSONARO,5343,2765,2022,LUIZ INÁCIO LULA DA SILVA,6417,3493,310300,135.71,110.0,112.73,118.56,104.21,45.26,14.16,78.95
MG-ANTONIO PRADO DE MINAS,SUDESTE,MG,ANTONIO PRADO DE MINAS,2018,FERNANDO HADDAD,1367,692,2022,LUIZ INÁCIO LULA DA SILVA,1463,842,310310,180.0,55.56,144.44,110.0,122.22,122.22,140.0,77.78
MG-ARACAI,SUDESTE,MG,ARACAI,2018,JAIR MESSIAS BOLSONARO,1544,860,2022,LUIZ INÁCIO LULA DA SILVA,1883,1048,310320,150.0,140.0,115.0,30.0,63.33,50.0,37.5,70.83
MG-ARACITABA,SUDESTE,MG,ARACITABA,2018,FERNANDO HADDAD,1333,794,2022,LUIZ INÁCIO LULA DA SILVA,1915,1185,310330,21.43,66.67,60.0,140.0,83.33,77.78,58.33,76.47
MG-ARACUAI,SUDESTE,MG,ARACUAI,2018,FERNANDO HADDAD,15698,9420,2022,LUIZ INÁCIO LULA DA SILVA,18049,11733,310340,148.34,102.56,99.36,95.35,88.37,112.79,133.25,126.82
MG-ARAGUARI,SUDESTE,MG,ARAGUARI,2018,JAIR MESSIAS BOLSONARO,60752,41697,2022,JAIR MESSIAS BOLSONARO,66624,36783,310350,74.93,101.15,97.26,103.48,80.86,58.76,64.44,83.91
MG-ARANTINA,SUDESTE,MG,ARANTINA,2018,FERNANDO HADDAD,1778,1081,2022,LUIZ INÁCIO LULA DA SILVA,2050,1386,310360,66.67,35.71,71.43,42.86,28.95,60.53,26.09,70.0
MG-ARAPONGA,SUDESTE,MG,ARAPONGA,2018,FERNANDO HADDAD,4175,3228,2022,LUIZ INÁCIO LULA DA SILVA,4896,3575,310370,94.38,121.88,104.17,98.97,107.14,94.05,95.15,111.65
MG-ARAPORA,SUDESTE,MG,ARAPORA,2018,JAIR MESSIAS BOLSONARO,4209,2442,2022,LUIZ INÁCIO LULA DA SILVA,4904,2412,310375,67.01,74.8,89.43,121.43,94.4,57.6,55.04,124.22
MG-ARAPUA,SUDESTE,MG,ARAPUA,2018,JAIR MESSIAS BOLSONARO,2007,1434,2022,JAIR MESSIAS BOLSONARO,2333,1333,310380,123.08,95.45,90.91,128.57,105.88,141.18,166.67,162.5
MG-ARAUJOS,SUDESTE,MG,ARAUJOS,2018,JAIR MESSIAS BOLSONARO,4406,3172,2022,JAIR MESSIAS BOLSONARO,5068,2705,310390,92.05,46.67,77.5,121.35,93.62,60.64,26.4,48.54
MG-ARAXA,SUDESTE,MG,ARAXA,2018,JAIR MESSIAS BOLSONARO,51911,33021,2022,JAIR MESSIAS BOLSONARO,59959,28179,310400,119.47,108.07,105.92,100.19,87.05,46.37,59.88,63.47
MG-ARCEBURGO,SUDESTE,MG,ARCEBURGO,2018,JAIR MESSIAS BOLSONARO,4731,3245,2022,JAIR MESSIAS BOLSONARO,5529,2843,310410,110.78,81.82,87.5,129.03,93.06,100.0,78.38,104.35
MG-ARCOS,SUDESTE,MG,ARCOS,2018,JAIR MESSIAS BOLSONARO,21297,13571,2022,JAIR MESSIAS BOLSONARO,24436,11953,310420,142.65,122.93,127.18,119.47,107.63,93.37,92.53,122.33
MG-AREADO,SUDESTE,MG,AREADO,2018,JAIR MESSIAS BOLSONARO,7803,5579,2022,JAIR MESSIAS BOLSONARO,8745,4599,310430,107.95,94.25,87.93,110.69,90.32,99.35,93.57,95.92
MG-ARGIRITA,SUDESTE,MG,ARGIRITA,2018,FERNANDO HADDAD,1841,1154,2022,LUIZ INÁCIO LULA DA SILVA,2239,1531,310440,13.33,6.45,61.29,83.33,83.33,112.5,41.18,50.0
MG-ARICANDUVA,SUDESTE,MG,ARICANDUVA,2018,FERNANDO HADDAD,2666,1907,2022,LUIZ INÁCIO LULA DA SILVA,3205,2172,310445,130.19,45.0,8.33,20.97,62.9,66.13,52.83,41.43
MG-ARINOS,SUDESTE,MG,ARINOS,2018,FERNANDO HADDAD,7878,4986,2022,LUIZ INÁCIO LULA DA SILVA,9278,5555,310450,99.54,91.71,106.91,95.77,37.32,72.25,85.71,81.35
MG-ASTOLFO DUTRA,SUDESTE,MG,ASTOLFO DUTRA,2018,JAIR MESSIAS BOLSONARO,7533,4224,2022,LUIZ INÁCIO LULA DA SILVA,8354,4266,310460,104.61,93.6,97.6,85.11,122.83,111.02,85.71,101.57
MG-ATALEIA,SUDESTE,MG,ATALEIA,2018,FERNANDO HADDAD,6157,4321,2022,LUIZ INÁCIO LULA DA SILVA,7320,4923,310470,82.05,55.42,59.04,63.64,82.64,51.39,89.52,199.14
MG-AUGUSTO DE LIMA,SUDESTE,MG,AUGUSTO DE LIMA,2018,FERNANDO HADDAD,2420,1367,2022,LUIZ INÁCIO LULA DA SILVA,2843,1615,310480,108.51,91.94,69.35,107.84,244.74,121.05,97.83,125.64
MG-BAEPENDI,SUDESTE,MG,BAEPENDI,2018,JAIR MESSIAS BOLSONARO,10684,7578,2022,JAIR MESSIAS BOLSONARO,11644,6702,310490,111.11,125.29,120.59,106.47,117.46,113.23,86.79,121.18
MG-BALDIM,SUDESTE,MG,BALDIM,2018,JAIR MESSIAS BOLSONARO,4467,2562,2022,LUIZ INÁCIO LULA DA SILVA,5327,2670,310500,95.83,86.79,85.85,77.89,92.0,118.67,90.54,139.06
MG-BAMBUI,SUDESTE,MG,BAMBUI,2018,FERNANDO HADDAD,12210,6120,2022,LUIZ INÁCIO LULA DA SILVA,13777,7173,310510,105.31,100.4,82.87,105.45,77.35,104.7,92.31,66.54
MG-BANDEIRA,SUDESTE,MG,BANDEIRA,2018,FERNANDO HADDAD,2494,1988,2022,LUIZ INÁCIO LULA DA SILVA,2978,2329,310520,127.27,80.0,128.0,94.23,129.73,62.16,33.33,88.24
MG-BANDEIRA DO SUL,SUDESTE,MG,BANDEIRA DO SUL,2018,JAIR MESSIAS BOLSONARO,3670,2609,2022,JAIR MESSIAS BOLSONARO,3963,2111,310530,38.46,45.0,56.67,157.14,125.0,94.12,93.15,90.67
MG-BARAO DE COCAIS,SUDESTE,MG,BARAO DE COCAIS,2018,JAIR MESSIAS BOLSONARO,15395,8352,2022,LUIZ INÁCIO LULA DA SILVA,18501,10079,310540,105.97,71.86,70.13,73.22,100.0,74.93,84.29,112.54
MG-BARAO DE MONTE ALTO,SUDESTE,MG,BARAO DE MONTE ALTO,2018,FERNANDO HADDAD,3767,2287,2022,LUIZ INÁCIO LULA DA SILVA,4124,2663,310550,200.0,110.87,102.17,115.22,110.26,105.13,107.69,113.51
MG-BARBACENA,SUDESTE,MG,BARBACENA,2018,JAIR MESSIAS BOLSONARO,67996,35585,2022,LUIZ INÁCIO LULA DA SILVA,75241,40846,310560,95.98,100.0,106.16,109.89,100.36,94.67,89.5,32.41
MG-BARRA LONGA,SUDESTE,MG,BARRA LONGA,2018,FERNANDO HADDAD,3335,2272,2022,LUIZ INÁCIO LULA DA SILVA,4149,2971,310570,113.33,101.96,88.24,70.18,86.54,121.15,132.65,183.33
MG-BARROSO,SUDESTE,MG,BARROSO,2018,JAIR MESSIAS BOLSONARO,11105,5575,2022,LUIZ INÁCIO LULA DA SILVA,13122,7550,310590,106.56,97.25,96.08,100.0,96.64,56.72,50.0,75.7
MG-BELA VISTA DE MINAS,SUDESTE,MG,BELA VISTA DE MINAS,2018,FERNANDO HADDAD,5371,2997,2022,LUIZ INÁCIO LULA DA SILVA,6222,3902,310600,72.58,81.29,69.78,68.94,73.11,59.66,60.0,85.71
MG-BELMIRO BRAGA,SUDESTE,MG,BELMIRO BRAGA,2018,FERNANDO HADDAD,2087,1368,2022,LUIZ INÁCIO LULA DA SILVA,2374,1532,310610,2.94,8.82,58.82,59.26,36.67,83.33,89.47,59.26
MG-BELO HORIZONTE,SUDESTE,MG,BELO HORIZONTE,2018,JAIR MESSIAS BOLSONARO,1374400,901513,2022,JAIR MESSIAS BOLSONARO,1500199,699105,310620,88.99,101.84,104.9,103.9,93.18,110.28,100.54,105.29
MG-BELO ORIENTE,SUDESTE,MG,BELO ORIENTE,2018,JAIR MESSIAS BOLSONARO,11902,6702,2022,LUIZ INÁCIO LULA DA SILVA,14188,7341,310630,91.59,77.35,81.47,89.24,89.8,47.04,24.65,100.33
MG-BELO VALE,SUDESTE,MG,BELO VALE,2018,JAIR MESSIAS BOLSONARO,5361,2705,2022,LUIZ INÁCIO LULA DA SILVA,6143,3569,310640,164.37,121.11,115.56,82.47,79.82,86.24,92.47,76.92
MG-BERILO,SUDESTE,MG,BERILO,2018,FERNANDO HADDAD,4652,3534,2022,LUIZ INÁCIO LULA DA SILVA,5456,4028,310650,79.17,65.81,45.3,52.94,48.81,42.86,43.43,88.0
MG-BERIZAL,SUDESTE,MG,BERIZAL,2018,FERNANDO HADDAD,2415,1768,2022,LUIZ INÁCIO LULA DA SILVA,2969,1991,310665,113.56,122.73,147.73,136.36,108.93,7.14,18.75,30.36
MG-BERTOPOLIS,SUDESTE,MG,BERTOPOLIS,2018,FERNANDO HADDAD,2500,1704,2022,LUIZ INÁCIO LULA DA SILVA,2924,2069,310660,103.37,71.88,80.21,109.59,84.34,63.86,63.16,77.03
MG-BETIM,SUDESTE,MG,BETIM,2018,JAIR MESSIAS BOLSONARO,197602,122576,2022,LUIZ INÁCIO LULA DA SILVA,233036,106684,310670,113.41,86.94,70.32,139.49,114.69,111.73,108.4,89.24
MG-BIAS FORTES,SUDESTE,MG,BIAS FORTES,2018,FERNANDO HADDAD,2326,1645,2022,LUIZ INÁCIO LULA DA SILVA,2793,1960,310680,28.12,40.74,77.78,29.17,53.85,65.38,68.18,31.58
MG-BICAS,SUDESTE,MG,BICAS,2018,JAIR MESSIAS BOLSONARO,7578,4066,2022,LUIZ INÁCIO LULA DA SILVA,8589,4428,310690,41.99,37.68,62.32,104.35,77.55,57.82,78.32,93.01
MG-BIQUINHAS,SUDESTE,MG,BIQUINHAS,2018,JAIR MESSIAS BOLSONARO,1680,934,2022,LUIZ INÁCIO LULA DA SILVA,1869,958,310700,100.0,89.29,78.57,113.04,55.56,38.89,53.85,95.0
MG-BOA ESPERANCA,SUDESTE,MG,BOA ESPERANCA,2018,JAIR MESSIAS BOLSONARO,20360,12864,2022,LUIZ INÁCIO LULA DA SILVA,23135,10777,310710,108.75,114.64,121.19,103.7,109.18,111.42,82.12,103.11
MG-BOCAINA DE MINAS,SUDESTE,MG,BOCAINA DE MINAS,2018,JAIR MESSIAS BOLSONARO,2945,1600,2022,LUIZ INÁCIO LULA DA SILVA,3338,1782,310720,108.0,54.55,59.09,117.65,53.85,92.31,60.0,37.14
MG-BOCAIUVA,SUDESTE,MG,BOCAIUVA,2018,FERNANDO HADDAD,23336,15564,2022,LUIZ INÁCIO LULA DA SILVA,26876,18570,310730,114.83,110.52,94.81,106.36,62.92,7.08,11.11,30.65
MG-BOM DESPACHO,SUDESTE,MG,BOM DESPACHO,2018,JAIR MESSIAS BOLSONARO,25635,19194,2022,JAIR MESSIAS BOLSONARO,28330,16382,310740,104.76,111.62,129.13,105.33,46.87,95.97,80.03,46.14
MG-BOM JARDIM DE MINAS,SUDESTE,MG,BOM JARDIM DE MINAS,2018,JAIR MESSIAS BOLSONARO,3958,2010,2022,LUIZ INÁCIO LULA DA SILVA,4377,2531,310750,100.0,78.87,100.0,65.85,68.12,66.67,81.25,78.95
MG-BOM JESUS DA PENHA,SUDESTE,MG,BOM JESUS DA PENHA,2018,JAIR MESSIAS BOLSONARO,2284,1627,2022,JAIR MESSIAS BOLSONARO,2670,1457,310760,125.0,86.67,246.67,220.0,70.27,62.16,90.0,80.0
MG-BOM JESUS DO AMPARO,SUDESTE,MG,BOM JESUS DO AMPARO,2018,FERNANDO HADDAD,3109,1708,2022,LUIZ INÁCIO LULA DA SILVA,3736,2229,310770,130.36,83.33,73.33,101.33,77.03,67.57,81.08,40.58
MG-BOM JESUS DO GALHO,SUDESTE,MG,BOM JESUS DO GALHO,2018,JAIR MESSIAS BOLSONARO,7532,3778,2022,LUIZ INÁCIO LULA DA SILVA,8945,4865,310780,140.59,86.74,79.01,92.59,79.35,75.48,67.97,66.67
MG-BOM REPOUSO,SUDESTE,MG,BOM REPOUSO,2018,JAIR MESSIAS BOLSONARO,6189,3621,2022,LUIZ INÁCIO LULA DA SILVA,7163,3431,310790,119.35,153.7,139.81,109.93,90.34,97.24,49.66,135.25
MG-BOM SUCESSO,SUDESTE,MG,BOM SUCESSO,2018,JAIR MESSIAS BOLSONARO,9447,5548,2022,LUIZ INÁCIO LULA DA SILVA,10868,5664,310800,99.42,46.49,62.7,64.97,29.61,49.16,75.48,113.7
MG-BONFIM,SUDESTE,MG,BONFIM,2018,JAIR MESSIAS BOLSONARO,4450,2415,2022,LUIZ INÁCIO LULA DA SILVA,5178,2756,310810,166.67,66.67,122.22,51.85,76.47,52.94,44.9,84.62
MG-BONFINOPOLIS DE MINAS,SUDESTE,MG,BONFINOPOLIS DE MINAS,2018,FERNANDO HADDAD,3003,1736,2022,LUIZ INÁCIO LULA DA SILVA,3464,1996,310820,132.73,73.68,89.47,103.7,88.71,88.71,42.67,28.33
MG-BONITO DE MINAS,SUDESTE,MG,BONITO DE MINAS,2018,FERNANDO HADDAD,4421,3741,2022,LUIZ INÁCIO LULA DA SILVA,5441,4342,310825,23.68,5.08,17.8,8.09,9.7,31.34,93.75,105.17
MG-BORDA DA MATA,SUDESTE,MG,BORDA DA MATA,2018,JAIR MESSIAS BOLSONARO,9055,6615,2022,JAIR MESSIAS BOLSONARO,9839,5131,310830,121.02,104.85,105.45,105.77,83.42,49.73,56.08,67.35
MG-BOTELHOS,SUDESTE,MG,BOTELHOS,2018,JAIR MESSIAS BOLSONARO,8418,4289,2022,LUIZ INÁCIO LULA DA SILVA,9363,4964,310840,67.86,64.8,85.6,110.57,92.57,99.32,99.28,100.74
MG-BOTUMIRIM,SUDESTE,MG,BOTUMIRIM,2018,FERNANDO HADDAD,2997,2278,2022,LUIZ INÁCIO LULA DA SILVA,3596,2740,310850,28.21,14.93,8.96,60.0,35.71,37.5,39.34,54.84
MG-BRAS PIRES,SUDESTE,MG,BRAS PIRES,2018,FERNANDO HADDAD,2592,1426,2022,LUIZ INÁCIO LULA DA SILVA,3069,1858,310870,129.03,108.7,56.52,112.24,117.65,67.65,46.51,122.58
MG-BRASILANDIA DE MINAS,SUDESTE,MG,BRASILANDIA DE MINAS,2018,FERNANDO HADDAD,7317,4341,2022,LUIZ INÁCIO LULA DA SILVA,8709,5056,310855,78.07,91.06,68.09,63.33,67.58,66.21,75.98,57.63
MG-BRASILIA DE MINAS,SUDESTE,MG,BRASILIA DE MINAS,2018,FERNANDO HADDAD,15972,10990,2022,LUIZ INÁCIO LULA DA SILVA,18590,12775,310860,268.79,213.52,144.06,128.31,98.23,71.18,96.89,92.4
MG-BRAUNAS,SUDESTE,MG,BRAUNAS,2018,FERNANDO HADDAD,2572,1356,2022,LUIZ INÁCIO LULA DA SILVA,2879,1703,310880,56.94,140.48,97.62,131.91,124.32,37.84,32.2,62.96
MG-BRAZOPOLIS,SUDESTE,MG,BRAZOPOLIS,2018,JAIR MESSIAS BOLSONARO,8344,5836,2022,JAIR MESSIAS BOLSONARO,8990,4332,310890,134.32,100.63,99.37,96.23,79.17,81.55,119.33,111.84
MG-BRUMADINHO,SUDESTE,MG,BRUMADINHO,2018,JAIR MESSIAS BOLSONARO,19379,12215,2022,LUIZ INÁCIO LULA DA SILVA,24455,11438,310900,143.68,59.38,62.06,50.34,47.95,67.35,83.44,102.73
MG-BUENO BRANDAO,SUDESTE,MG,BUENO BRANDAO,2018,JAIR MESSIAS BOLSONARO,5975,4440,2022,JAIR MESSIAS BOLSONARO,6396,3794,310910,84.21,129.41,125.0,121.84,91.21,69.23,67.03,102.27
MG-BUENOPOLIS,SUDESTE,MG,BUENOPOLIS,2018,FERNANDO HADDAD,4350,2480,2022,LUIZ INÁCIO LULA DA SILVA,5044,3064,310920,90.32,71.21,96.97,103.0,96.46,42.48,21.1,24.53
MG-BUGRE,SUDESTE,MG,BUGRE,2018,JAIR MESSIAS BOLSONARO,2636,1616,2022,LUIZ INÁCIO LULA DA SILVA,3117,1530,310925,111.54,122.92,108.33,117.65,134.04,78.72,52.63,159.26
MG-BURITIS,SUDESTE,MG,BURITIS,2018,JAIR MESSIAS BOLSONARO,11631,6521,2022,JAIR MESSIAS BOLSONARO,13703,6588,310930,111.25,97.24,94.48,106.8,72.27,78.13,101.18,68.09
MG-BURITIZEIRO,SUDESTE,MG,BURITIZEIRO,2018,FERNANDO HADDAD,11200,6497,2022,LUIZ INÁCIO LULA DA SILVA,13571,7642,310940,3.95,0.54,57.1,121.79,92.99,74.39,77.3,71.66
MG-CABECEIRA GRANDE,SUDESTE,MG,CABECEIRA GRANDE,2018,JAIR MESSIAS BOLSONARO,3405,1957,2022,LUIZ INÁCIO LULA DA SILVA,3945,1977,310945,89.16,101.64,140.98,129.63,117.57,70.27,67.02,166.67
MG-CABO VERDE,SUDESTE,MG,CABO VERDE,2018,JAIR MESSIAS BOLSONARO,6588,3367,2022,LUIZ INÁCIO LULA DA SILVA,7337,3724,310950,83.75,107.83,143.48,102.19,73.78,81.71,57.38,77.69
MG-CACHOEIRA DA PRATA,SUDESTE,MG,CACHOEIRA DA PRATA,2018,JAIR MESSIAS BOLSONARO,2439,1461,2022,LUIZ INÁCIO LULA DA SILVA,2753,1381,310960,71.74,69.57,89.13,138.24,105.13,79.49,60.0,121.43
MG-CACHOEIRA DE MINAS,SUDESTE,MG,CACHOEIRA DE MINAS,2018,JAIR MESSIAS BOLSONARO,6513,4859,2022,JAIR MESSIAS BOLSONARO,7492,4092,310970,98.28,101.71,83.76,89.43,102.63,41.23,31.78,114.39
MG-CACHOEIRA DE PAJEU,SUDESTE,MG,CACHOEIRA DE PAJEU,2018,FERNANDO HADDAD,4101,2698,2022,LUIZ INÁCIO LULA DA SILVA,4728,3231,310270,114.43,84.85,109.09,142.7,100.0,71.79,43.33,116.88
MG-CACHOEIRA DOURADA,SUDESTE,MG,CACHOEIRA DOURADA,2018,FERNANDO HADDAD,1471,956,2022,LUIZ INÁCIO LULA DA SILVA,1825,1206,310980,0.0,0.0,23.08,95.83,58.33,37.5,84.62,381.82
MG-CAETANOPOLIS,SUDESTE,MG,CAETANOPOLIS,2018,JAIR MESSIAS BOLSONARO,5388,3748,2022,JAIR MESSIAS BOLSONARO,6609,3266,310990,136.84,82.17,94.57,121.7,108.4,97.48,78.91,63.71
MG-CAETE,SUDESTE,MG,CAETE,2018,JAIR MESSIAS BOLSONARO,22137,13593,2022,LUIZ INÁCIO LULA DA SILVA,25470,12904,311000,95.65,87.12,79.04,89.24,81.69,66.8,60.45,103.28
MG-CAIANA,SUDESTE,MG,CAIANA,2018,FERNANDO HADDAD,2608,1594,2022,LUIZ INÁCIO LULA DA SILVA,3154,1780,311010,122.45,74.65,80.28,122.03,95.24,80.95,81.94,124.59
MG-CAJURI,SUDESTE,MG,CAJURI,2018,FERNANDO HADDAD,2962,1986,2022,LUIZ INÁCIO LULA DA SILVA,3531,2503,311020,115.91,105.56,183.33,104.88,108.57,71.43,36.84,67.8
MG-CALDAS,SUDESTE,MG,CALDAS,2018,JAIR MESSIAS BOLSONARO,7562,5172,2022,JAIR MESSIAS BOLSONARO,8088,4279,311030,112.62,103.45,105.17,102.48,152.68,36.61,28.8,58.18
MG-CAMACHO,SUDESTE,MG,CAMACHO,2018,FERNANDO HADDAD,2153,1245,2022,LUIZ INÁCIO LULA DA SILVA,2388,1383,311040,76.67,70.59,91.18,68.97,120.0,32.0,21.88,100.0
