Estado_Municipio,Região,UF,Município,Ano de eleição (2018),Nome candidato (2018),Votos válidos (2018),Votos nominais (2018),Ano de eleição (2022),Nome candidato (2022),Votos válidos (2022),Votos nominais (2022),Código SUS,Cobertura Vacinal 2015,Cobertura Vacinal 2016,Cobertura Vacinal 2017,Cobertura Vacinal 2018,Cobertura Vacinal 2019,Cobertura Vacinal 2020,Cobertura Vacinal 2021,Cobertura Vacinal 2022
MG-CAMANDUCAIA,SUDESTE,MG,CAMANDUCAIA,2018,JAIR MESSIAS BOLSONARO,11273,7870,2022,JAIR MESSIAS BOLSONARO,13027,6686,311050,124.21,112.41,99.25,88.12,67.5,37.5,18.35,40.52
MG-CAMBUI,SUDESTE,MG,CAMBUI,2018,JAIR MESSIAS BOLSONARO,13918,9755,2022,JAIR MESSIAS BOLSONARO,15842,7825,311060,86.05,72.07,96.4,100.62,89.17,100.0,96.69,88.6
MG-CAMBUQUIRA,SUDESTE,MG,CAMBUQUIRA,2018,JAIR MESSIAS BOLSONARO,6550,4315,2022,LUIZ INÁCIO LULA DA SILVA,7355,3450,311070,82.52,102.01,85.91,78.88,108.15,55.56,65.19,88.03
MG-CAMPANARIO,SUDESTE,MG,CAMPANARIO,2018,FERNANDO HADDAD,1923,1195,2022,LUIZ INÁCIO LULA DA SILVA,2159,1413,311080,162.5,152.5,137.5,93.02,77.78,42.22,15.0,137.93
MG-CAMPANHA,SUDESTE,MG,CAMPANHA,2018,JAIR MESSIAS BOLSONARO,7865,6041,2022,JAIR MESSIAS BOLSONARO,9081,5149,311090,107.69,109.55,101.69,106.18,85.49,73.06,70.22,57.47
MG-CAMPESTRE,SUDESTE,MG,CAMPESTRE,2018,JAIR MESSIAS BOLSONARO,11304,8136,2022,JAIR MESSIAS BOLSONARO,12509,6805,311100,100.0,95.08,106.56,96.43,101.68,94.97,47.75,64.62
MG-CAMPINA VERDE,SUDESTE,MG,CAMPINA VERDE,2018,JAIR MESSIAS BOLSONARO,10056,5744,2022,JAIR MESSIAS BOLSONARO,10612,5048,311110,83.42,101.52,103.54,95.51,86.34,96.89,73.78,83.12
MG-CAMPO AZUL,SUDESTE,MG,CAMPO AZUL,2018,FERNANDO HADDAD,2216,1763,2022,LUIZ INÁCIO LULA DA SILVA,2742,2135,311115,10.2,0.0,91.3,90.7,61.4,40.35,61.36,68.29
MG-CAMPO BELO,SUDESTE,MG,CAMPO BELO,2018,JAIR MESSIAS BOLSONARO,25466,17661,2022,JAIR MESSIAS BOLSONARO,28466,14632,311120,75.52,96.58,100.0,107.37,38.26,58.13,78.95,93.17
MG-CAMPO DO MEIO,SUDESTE,MG,CAMPO DO MEIO,2018,FERNANDO HADDAD,6416,3342,2022,LUIZ INÁCIO LULA DA SILVA,7365,4310,311130,130.4,101.6,127.2,146.96,91.03,108.28,104.07,87.23
MG-CAMPO FLORIDO,SUDESTE,MG,CAMPO FLORIDO,2018,JAIR MESSIAS BOLSONARO,3975,2074,2022,LUIZ INÁCIO LULA DA SILVA,4811,2647,311140,134.69,150.0,87.5,102.61,120.43,102.15,85.59,62.5
MG-CAMPOS ALTOS,SUDESTE,MG,CAMPOS ALTOS,2018,JAIR MESSIAS BOLSONARO,6261,3941,2022,JAIR MESSIAS BOLSONARO,7029,3759,311150,101.52,88.56,93.53,91.28,102.7,101.62,80.9,108.88
MG-CAMPOS GERAIS,SUDESTE,MG,CAMPOS GERAIS,2018,JAIR MESSIAS BOLSONARO,12962,8022,2022,JAIR MESSIAS BOLSONARO,14866,7413,311160,142.07,80.92,83.38,103.53,99.31,117.99,81.69,76.97
MG-CANA VERDE,SUDESTE,MG,CANA VERDE,2018,JAIR MESSIAS BOLSONARO,3231,1833,2022,LUIZ INÁCIO LULA DA SILVA,3713,1850,311190,91.53,91.07,94.64,118.18,88.33,26.67,20.69,117.07
MG-CANAA,SUDESTE,MG,CANAA,2018,FERNANDO HADDAD,2961,2099,2022,LUIZ INÁCIO LULA DA SILVA,3373,2416,311170,46.97,81.63,120.41,167.44,97.96,91.84,23.4,57.14
MG-CANAPOLIS,SUDESTE,MG,CANAPOLIS,2018,FERNANDO HADDAD,5651,3176,2022,LUIZ INÁCIO LULA DA SILVA,6424,3921,311180,107.58,130.83,95.0,105.04,85.19,80.74,92.59,41.94
MG-CANDEIAS,SUDESTE,MG,CANDEIAS,2018,JAIR MESSIAS BOLSONARO,7589,4576,2022,LUIZ INÁCIO LULA DA SILVA,8480,4020,311200,74.45,97.9,95.8,76.8,55.56,51.28,54.21,56.0
MG-CANTAGALO,SUDESTE,MG,CANTAGALO,2018,FERNANDO HADDAD,2088,1367,2022,LUIZ INÁCIO LULA DA SILVA,2451,1741,311205,116.22,93.88,114.29,73.58,85.0,65.0,58.18,84.62
MG-CAPARAO,SUDESTE,MG,CAPARAO,2018,JAIR MESSIAS BOLSONARO,2870,1604,2022,JAIR MESSIAS BOLSONARO,3279,1775,311210,84.48,104.0,88.0,97.22,90.36,48.19,79.78,117.28
MG-CAPELA NOVA,SUDESTE,MG,CAPELA NOVA,2018,FERNANDO HADDAD,2730,1600,2022,LUIZ INÁCIO LULA DA SILVA,3369,2094,311220,168.42,102.86,108.57,85.71,92.5,40.0,32.0,107.89
MG-CAPELINHA,SUDESTE,MG,CAPELINHA,2018,FERNANDO HADDAD,16315,8898,2022,LUIZ INÁCIO LULA DA SILVA,20382,11470,311230,129.11,108.7,114.44,104.41,97.63,114.55,140.1,158.84
MG-CAPETINGA,SUDESTE,MG,CAPETINGA,2018,JAIR MESSIAS BOLSONARO,3571,2176,2022,JAIR MESSIAS BOLSONARO,3983,1853,311240,105.06,98.75,91.25,115.71,111.48,67.21,43.24,113.43
MG-CAPIM BRANCO,SUDESTE,MG,CAPIM BRANCO,2018,JAIR MESSIAS BOLSONARO,5354,3641,2022,JAIR MESSIAS BOLSONARO,6206,3083,311250,114.04,100.86,121.55,113.18,89.43,68.29,75.68,112.24
MG-CAPINOPOLIS,SUDESTE,MG,CAPINOPOLIS,2018,FERNANDO HADDAD,7832,4143,2022,LUIZ INÁCIO LULA DA SILVA,8615,4891,311260,57.06,43.26,107.09,113.33,89.22,83.83,98.71,88.61
MG-CAPITAO ANDRADE,SUDESTE,MG,CAPITAO ANDRADE,2018,JAIR MESSIAS BOLSONARO,2529,1414,2022,LUIZ INÁCIO LULA DA SILVA,2631,1264,311265,55.36,56.94,54.17,51.72,39.71,94.12,107.41,184.62
MG-CAPITAO ENEAS,SUDESTE,MG,CAPITAO ENEAS,2018,FERNANDO HADDAD,7690,5233,2022,LUIZ INÁCIO LULA DA SILVA,8950,6269,311270,24.74,12.24,1.02,27.38,20.43,18.28,41.75,88.79
MG-CAPITOLIO,SUDESTE,MG,CAPITOLIO,2018,JAIR MESSIAS BOLSONARO,4814,3139,2022,JAIR MESSIAS BOLSONARO,5761,3171,311280,0.0,82.72,124.69,97.96,108.91,111.88,74.04,89.84
MG-CAPUTIRA,SUDESTE,MG,CAPUTIRA,2018,FERNANDO HADDAD,5271,3138,2022,LUIZ INÁCIO LULA DA SILVA,5991,3541,311290,26.09,14.29,26.05,55.47,77.6,16.8,15.45,177.45
MG-CARAI,SUDESTE,MG,CARAI,2018,FERNANDO HADDAD,7721,5871,2022,LUIZ INÁCIO LULA DA SILVA,9040,6720,311300,52.94,45.49,76.32,85.27,92.75,76.45,80.54,78.57
MG-CARANAIBA,SUDESTE,MG,CARANAIBA,2018,JAIR MESSIAS BOLSONARO,1976,1015,2022,LUIZ INÁCIO LULA DA SILVA,2449,1396,311310,278.26,164.0,792.0,395.45,132.0,28.0,33.33,117.39
MG-CARANDAI,SUDESTE,MG,CARANDAI,2018,JAIR MESSIAS BOLSONARO,13593,7191,2022,LUIZ INÁCIO LULA DA SILVA,15862,8401,311320,105.47,134.53,105.4,96.7,91.0,50.33,1.37,51.72
MG-CARANGOLA,SUDESTE,MG,CARANGOLA,2018,JAIR MESSIAS BOLSONARO,15438,8118,2022,LUIZ INÁCIO LULA DA SILVA,18064,9422,311330,163.26,68.59,89.38,116.33,94.7,102.17,121.17,139.35
MG-CARATINGA,SUDESTE,MG,CARATINGA,2018,JAIR MESSIAS BOLSONARO,38367,23811,2022,JAIR MESSIAS BOLSONARO,45862,22135,311340,112.74,132.41,104.57,86.91,87.73,96.76,86.2,89.11
MG-CARBONITA,SUDESTE,MG,CARBONITA,2018,FERNANDO HADDAD,4635,2774,2022,LUIZ INÁCIO LULA DA SILVA,5398,3458,311350,102.13,98.68,101.32,62.24,88.89,94.44,83.33,134.12
MG-CAREACU,SUDESTE,MG,CAREACU,2018,JAIR MESSIAS BOLSONARO,3323,2120,2022,JAIR MESSIAS BOLSONARO,3878,1869,311360,57.28,78.21,84.62,112.68,76.47,5.88,56.94,103.33
MG-CARLOS CHAGAS,SUDESTE,MG,CARLOS CHAGAS,2018,FERNANDO HADDAD,8968,5086,2022,LUIZ INÁCIO LULA DA SILVA,10666,6409,311370,133.04,97.57,75.71,91.63,107.51,93.9,59.03,112.5
MG-CARMESIA,SUDESTE,MG,CARMESIA,2018,FERNANDO HADDAD,1271,674,2022,LUIZ INÁCIO LULA DA SILVA,1703,1028,311380,129.63,119.44,97.22,102.63,93.33,96.67,75.0,75.76
