,Ano de eleição,Cargo,Código município,Município,Região,UF,Turno,Nome candidato,Votos válidos,Votos nominais,Estado_Municipio
93,2022,Presidente,27898,MARAGOGI,NORDESTE,AL,1,JAIR MESSIAS BOLSONARO,16735,8865,AL-MARAGOGI
19630,2022,Presidente,27910,MARAVILHA,NORDESTE,AL,1,LUIZ INÁCIO LULA DA SILVA,5647,4282,AL-MARAVILHA
53475,2022,Presidente,27936,MARECHAL DEODORO,NORDESTE,AL,1,JAIR MESSIAS BOLSONARO,31641,15343,AL-MARECHAL DEODORO
34023,2022,Presidente,27952,MARIBONDO,NORDESTE,AL,1,LUIZ INÁCIO LULA DA SILVA,7773,4974,AL-MARIBONDO
41513,2022,Presidente,27995,MATA GRANDE,NORDESTE,AL,1,LUIZ INÁCIO LULA DA SILVA,11801,9432,AL-MATA GRANDE
3670,2022,Presidente,28010,MATRIZ DE CAMARAGIBE,NORDESTE,AL,1,JAIR MESSIAS BOLSONARO,13026,6749,AL-MATRIZ DE CAMARAGIBE
51476,2022,Presidente,28037,MESSIAS,NORDESTE,AL,1,LUIZ INÁCIO LULA DA SILVA,10005,5776,AL-MESSIAS
9350,2022,Presidente,28053,MINADOR DO NEGRAO,NORDESTE,AL,1,LUIZ INÁCIO LULA DA SILVA,3543,2486,AL-MINADOR DO NEGRAO
1699,2022,Presidente,28070,MONTEIROPOLIS,NORDESTE,AL,1,LUIZ INÁCIO LULA DA SILVA,4167,3008,AL-MONTEIROPOLIS
25254,2022,Presidente,28096,MURICI,NORDESTE,AL,1,LUIZ INÁCIO LULA DA SILVA,14390,8770,AL-MURICI
41097,2022,Presidente,28118,NOVO LINO,NORDESTE,AL,1,LUIZ INÁCIO LULA DA SILVA,6961,3437,AL-NOVO LINO
9451,2022,Presidente,28134,OLHO D'AGUA DAS FLORES,NORDESTE,AL,1,LUIZ INÁCIO LULA DA SILVA,11588,7204,AL-OLHO D'AGUA DAS FLORES
9966,2022,Presidente,28150,OLHO D'AGUA DO CASADO,NORDESTE,AL,1,LUIZ INÁCIO LULA DA SILVA,5320,4522,AL-OLHO D'AGUA DO CASADO
41486,2022,Presidente,28177,OLHO D'AGUA GRANDE,NORDESTE,AL,1,LUIZ INÁCIO LULA DA SILVA,3444,2689,AL-OLHO D'AGUA GRANDE
11177,2022,Presidente,28193,OLIVENCA,NORDESTE,AL,1,LUIZ INÁCIO LULA DA SILVA,7075,5042,AL-OLIVENCA
40171,2022,Presidente,28215,OURO BRANCO,NORDESTE,AL,1,LUIZ INÁCIO LULA DA SILVA,6959,5283,AL-OURO BRANCO
61288,2022,Presidente,28231,PALESTINA,NORDESTE,AL,1,LUIZ INÁCIO LULA DA SILVA,3303,2442,AL-PALESTINA
24753,2022,Presidente,28258,PALMEIRA DOS INDIOS,NORDESTE,AL,1,LUIZ INÁCIO LULA DA SILVA,39379,24549,AL-PALMEIRA DOS INDIOS
62810,2022,Presidente,27022,PARICONHA,NORDESTE,AL,1,LUIZ INÁCIO LULA DA SILVA,6510,5663,AL-PARICONHA
33895,2022,Presidente,27006,PARIPUEIRA,NORDESTE,AL,1,LUIZ INÁCIO LULA DA SILVA,8518,3984,AL-PARIPUEIRA
11622,2022,Presidente,28290,PASSO DE CAMARAGIBE,NORDESTE,AL,1,LUIZ INÁCIO LULA DA SILVA,8980,5249,AL-PASSO DE CAMARAGIBE
17776,2022,Presidente,28312,PAULO JACINTO,NORDESTE,AL,1,LUIZ INÁCIO LULA DA SILVA,4712,3234,AL-PAULO JACINTO
25472,2022,Presidente,28339,PENEDO,NORDESTE,AL,1,LUIZ INÁCIO LULA DA SILVA,30365,18665,AL-PENEDO
18755,2022,Presidente,28355,PIACABUCU,NORDESTE,AL,1,LUIZ INÁCIO LULA DA SILVA,9994,6621,AL-PIACABUCU
49098,2022,Presidente,28371,PILAR,NORDESTE,AL,1,LUIZ INÁCIO LULA DA SILVA,20519,10993,AL-PILAR
43255,2022,Presidente,28398,PINDOBA,NORDESTE,AL,1,LUIZ INÁCIO LULA DA SILVA,2045,1364,AL-PINDOBA
17427,2022,Presidente,28410,PIRANHAS,NORDESTE,AL,1,LUIZ INÁCIO LULA DA SILVA,13414,10900,AL-PIRANHAS
46181,2022,Presidente,28452,PORTO CALVO,NORDESTE,AL,1,JAIR MESSIAS BOLSONARO,15152,7327,AL-PORTO CALVO
44517,2022,Presidente,28479,PORTO DE PEDRAS,NORDESTE,AL,1,LUIZ INÁCIO LULA DA SILVA,5366,2832,AL-PORTO DE PEDRAS
61500,2022,Presidente,28495,PORTO REAL DO COLEGIO,NORDESTE,AL,1,LUIZ INÁCIO LULA DA SILVA,12234,9354,AL-PORTO REAL DO COLEGIO
16776,2022,Presidente,28436,POCO DAS TRINCHEIRAS,NORDESTE,AL,1,LUIZ INÁCIO LULA DA SILVA,7683,6285,AL-POCO DAS TRINCHEIRAS
55230,2022,Presidente,28274,PAO DE ACUCAR,NORDESTE,AL,1,LUIZ INÁCIO LULA DA SILVA,13632,9991,AL-PAO DE ACUCAR
17905,2022,Presidente,28517,QUEBRANGULO,NORDESTE,AL,1,LUIZ INÁCIO LULA DA SILVA,7323,5252,AL-QUEBRANGULO
46679,2022,Presidente,28533,RIO LARGO,NORDESTE,AL,1,LUIZ INÁCIO LULA DA SILVA,48489,24603,AL-RIO LARGO
6780,2022,Presidente,28550,ROTEIRO,NORDESTE,AL,1,LUIZ INÁCIO LULA DA SILVA,4040,2381,AL-ROTEIRO
38479,2022,Presidente,28576,SANTA LUZIA DO NORTE,NORDESTE,AL,1,LUIZ INÁCIO LULA DA SILVA,4861,3033,AL-SANTA LUZIA DO NORTE
36761,2022,Presidente,28592,SANTANA DO IPANEMA,NORDESTE,AL,1,LUIZ INÁCIO LULA DA SILVA,24173,17264,AL-SANTANA DO IPANEMA
56249,2022,Presidente,28614,SANTANA DO MUNDAU,NORDESTE,AL,1,LUIZ INÁCIO LULA DA SILVA,6392,4696,AL-SANTANA DO MUNDAU
25435,2022,Presidente,28770,SATUBA,NORDESTE,AL,1,LUIZ INÁCIO LULA DA SILVA,10028,4732,AL-SATUBA
60242,2022,Presidente,28916,SENADOR RUI PALMEIRA,NORDESTE,AL,1,LUIZ INÁCIO LULA DA SILVA,6512,5175,AL-SENADOR RUI PALMEIRA
27419,2022,Presidente,28630,SAO BRAS,NORDESTE,AL,1,LUIZ INÁCIO LULA DA SILVA,5058,3630,AL-SAO BRAS
16721,2022,Presidente,28657,SAO JOSE DA LAJE,NORDESTE,AL,1,LUIZ INÁCIO LULA DA SILVA,12263,7207,AL-SAO JOSE DA LAJE
7569,2022,Presidente,28673,SAO JOSE DA TAPERA,NORDESTE,AL,1,LUIZ INÁCIO LULA DA SILVA,14694,11182,AL-SAO JOSE DA TAPERA
41340,2022,Presidente,28690,SAO LUIS DO QUITUNDE,NORDESTE,AL,1,LUIZ INÁCIO LULA DA SILVA,16318,8611,AL-SAO LUIS DO QUITUNDE
17630,2022,Presidente,28711,SAO MIGUEL DOS CAMPOS,NORDESTE,AL,1,LUIZ INÁCIO LULA DA SILVA,31726,15501,AL-SAO MIGUEL DOS CAMPOS
5297,2022,Presidente,28738,SAO MIGUEL DOS MILAGRES,NORDESTE,AL,1,LUIZ INÁCIO LULA DA SILVA,5457,2718,AL-SAO MIGUEL DOS MILAGRES
20494,2022,Presidente,28754,SAO SEBASTIAO,NORDESTE,AL,1,LUIZ INÁCIO LULA DA SILVA,18737,13823,AL-SAO SEBASTIAO
49272,2022,Presidente,28797,TANQUE D'ARCA,NORDESTE,AL,1,LUIZ INÁCIO LULA DA SILVA,3800,3014,AL-TANQUE D'ARCA
25400,2022,Presidente,28819,TAQUARANA,NORDESTE,AL,1,LUIZ INÁCIO LULA DA SILVA,10065,7510,AL-TAQUARANA
10105,2022,Presidente,28932,TEOTONIO VILELA,NORDESTE,AL,1,LUIZ INÁCIO LULA DA SILVA,20506,12651,AL-TEOTONIO VILELA
58276,2022,Presidente,28835,TRAIPU,NORDESTE,AL,1,LUIZ INÁCIO LULA DA SILVA,13029,9935,AL-TRAIPU
25255,2022,Presidente,28851,UNIAO DOS PALMARES,NORDESTE,AL,1,LUIZ INÁCIO LULA DA SILVA,33038,19983,AL-UNIAO DOS PALMARES
28949,2022,Presidente,28878,VICOSA,NORDESTE,AL,1,LUIZ INÁCIO LULA DA SILVA,15043,9441,AL-VICOSA
32339,2022,Presidente,27014,AGUA BRANCA,NORDESTE,AL,1,LUIZ INÁCIO LULA DA SILVA,10781,9295,AL-AGUA BRANCA
13099,2022,Presidente,2895,ALVARAES,NORTE,AM,1,LUIZ INÁCIO LULA DA SILVA,8494,6014,AM-ALVARAES
2961,2022,Presidente,2917,AMATURA,NORTE,AM,1,LUIZ INÁCIO LULA DA SILVA,5282,3857,AM-AMATURA
17777,2022,Presidente,2933,ANAMA,NORTE,AM,1,LUIZ INÁCIO LULA DA SILVA,6367,3927,AM-ANAMA
24502,2022,Presidente,2038,ANORI,NORTE,AM,1,LUIZ INÁCIO LULA DA SILVA,8089,4574,AM-ANORI
42894,2022,Presidente,2003,APUI,NORTE,AM,1,JAIR MESSIAS BOLSONARO,7804,4600,AM-APUI
40996,2022,Presidente,2054,ATALAIA DO NORTE,NORTE,AM,1,LUIZ INÁCIO LULA DA SILVA,6063,4724,AM-ATALAIA DO NORTE
33269,2022,Presidente,2070,AUTAZES,NORTE,AM,1,LUIZ INÁCIO LULA DA SILVA,21477,13625,AM-AUTAZES
7691,2022,Presidente,2097,BARCELOS,NORTE,AM,1,LUIZ INÁCIO LULA DA SILVA,7388,4675,AM-BARCELOS
31616,2022,Presidente,2119,BARREIRINHA,NORTE,AM,1,LUIZ INÁCIO LULA DA SILVA,16471,14691,AM-BARREIRINHA
53338,2022,Presidente,2135,BENJAMIN CONSTANT,NORTE,AM,1,LUIZ INÁCIO LULA DA SILVA,16657,13665,AM-BENJAMIN CONSTANT
58391,2022,Presidente,2950,BERURI,NORTE,AM,1,LUIZ INÁCIO LULA DA SILVA,10265,6423,AM-BERURI
12002,2022,Presidente,2976,BOA VISTA DO RAMOS,NORTE,AM,1,LUIZ INÁCIO LULA DA SILVA,9566,8269,AM-BOA VISTA DO RAMOS
56942,2022,Presidente,2151,BOCA DO ACRE,NORTE,AM,1,JAIR MESSIAS BOLSONARO,15734,7640,AM-BOCA DO ACRE
57010,2022,Presidente,2178,BORBA,NORTE,AM,1,LUIZ INÁCIO LULA DA SILVA,16265,12422,AM-BORBA
33743,2022,Presidente,2992,CAAPIRANGA,NORTE,AM,1,LUIZ INÁCIO LULA DA SILVA,7036,4577,AM-CAAPIRANGA
1091,2022,Presidente,2194,CANUTAMA,NORTE,AM,1,LUIZ INÁCIO LULA DA SILVA,6828,3835,AM-CANUTAMA
31823,2022,Presidente,2216,CARAUARI,NORTE,AM,1,LUIZ INÁCIO LULA DA SILVA,13768,10185,AM-CARAUARI
45418,2022,Presidente,2232,CAREIRO,NORTE,AM,1,LUIZ INÁCIO LULA DA SILVA,17050,10450,AM-CAREIRO
13063,2022,Presidente,2046,CAREIRO DA VARZEA,NORTE,AM,1,LUIZ INÁCIO LULA DA SILVA,12805,7716,AM-CAREIRO DA VARZEA
32806,2022,Presidente,2259,COARI,NORTE,AM,1,LUIZ INÁCIO LULA DA SILVA,35076,20449,AM-COARI
16470,2022,Presidente,2275,CODAJAS,NORTE,AM,1,LUIZ INÁCIO LULA DA SILVA,11670,6895,AM-CODAJAS
