,Ano de eleição,Município,UF,Região,Turno,Nome candidato,Cargo,Votos válidos,Votos nominais,Estado_Municipio
10059,2018,ILICINEA,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,6610,3472,MG-ILICINEA
3986,2018,IMBE DE MINAS,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,3625,2119,MG-IMBE DE MINAS
13749,2018,INCONFIDENTES,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,4578,2985,MG-INCONFIDENTES
13065,2018,INDAIABIRA,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,3463,1899,MG-INDAIABIRA
5570,2018,INDIANOPOLIS,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,3068,1567,MG-INDIANOPOLIS
12344,2018,INGAI,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,1870,1033,MG-INGAI
13007,2018,INHAPIM,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,12406,7653,MG-INHAPIM
16941,2018,INHAUMA,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,3507,2094,MG-INHAUMA
14489,2018,INIMUTABA,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,3830,2083,MG-INIMUTABA
9386,2018,IPABA,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,9000,5175,MG-IPABA
3758,2018,IPANEMA,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,9290,5267,MG-IPANEMA
13338,2018,IPATINGA,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,123933,91851,MG-IPATINGA
15839,2018,IPIACU,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,2152,1281,MG-IPIACU
13810,2018,IPUIUNA,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,5565,3763,MG-IPUIUNA
16061,2018,IRAI DE MINAS,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,4183,2525,MG-IRAI DE MINAS
13734,2018,ITABIRA,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,60365,35136,MG-ITABIRA
3525,2018,ITABIRINHA,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,5358,3050,MG-ITABIRINHA
16107,2018,ITABIRITO,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,27361,16365,MG-ITABIRITO
16494,2018,ITACAMBIRA,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,2642,2049,MG-ITACAMBIRA
8982,2018,ITACARAMBI,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,7877,5433,MG-ITACARAMBI
4872,2018,ITAGUARA,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,6784,4142,MG-ITAGUARA
1032,2018,ITAIPE,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,4944,3126,MG-ITAIPE
16691,2018,ITAJUBA,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,50748,39418,MG-ITAJUBA
810,2018,ITAMARANDIBA,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,14608,8541,MG-ITAMARANDIBA
7607,2018,ITAMARATI DE MINAS,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,2472,1322,MG-ITAMARATI DE MINAS
9711,2018,ITAMBACURI,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,9977,6375,MG-ITAMBACURI
7779,2018,ITAMBE DO MATO DENTRO,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,1465,825,MG-ITAMBE DO MATO DENTRO
3235,2018,ITAMOGI,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,5883,3737,MG-ITAMOGI
1822,2018,ITAMONTE,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,7767,5594,MG-ITAMONTE
14365,2018,ITANHANDU,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,8329,5428,MG-ITANHANDU
15744,2018,ITANHOMI,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,6106,3091,MG-ITANHOMI
10899,2018,ITAOBIM,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,9495,5010,MG-ITAOBIM
17255,2018,ITAPAGIPE,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,7016,4319,MG-ITAPAGIPE
2219,2018,ITAPECERICA,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,11588,6562,MG-ITAPECERICA
5338,2018,ITAPEVA,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,5182,3923,MG-ITAPEVA
12857,2018,ITATIAIUCU,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,6404,4599,MG-ITATIAIUCU
1970,2018,ITAVERAVA,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,3690,2126,MG-ITAVERAVA
4417,2018,ITAU DE MINAS,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,8151,5488,MG-ITAU DE MINAS
11562,2018,ITAUNA,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,48139,37146,MG-ITAUNA
12191,2018,ITINGA,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,6518,4933,MG-ITINGA
8699,2018,ITUETA,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,3306,2216,MG-ITUETA
17028,2018,ITUIUTABA,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,51271,25815,MG-ITUIUTABA
15070,2018,ITUMIRIM,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,3821,2333,MG-ITUMIRIM
1671,2018,ITURAMA,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,19988,10313,MG-ITURAMA
2521,2018,ITUTINGA,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,2412,1338,MG-ITUTINGA
3493,2018,JABOTICATUBAS,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,9398,5306,MG-JABOTICATUBAS
2994,2018,JACINTO,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,5126,3264,MG-JACINTO
15462,2018,JACUTINGA,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,12555,10264,MG-JACUTINGA
10506,2018,JACUI,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,3939,3020,MG-JACUI
4368,2018,JAGUARACU,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,2083,1260,MG-JAGUARACU
5896,2018,JAMPRUCA,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,2569,1727,MG-JAMPRUCA
4031,2018,JANAUBA,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,32547,17863,MG-JANAUBA
3930,2018,JANUARIA,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,29398,22111,MG-JANUARIA
4582,2018,JAPARAIBA,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,2292,1394,MG-JAPARAIBA
9559,2018,JAPONVAR,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,4673,3757,MG-JAPONVAR
14203,2018,JAIBA,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,15097,9618,MG-JAIBA
427,2018,JECEABA,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,3712,1905,MG-JECEABA
160,2018,JENIPAPO DE MINAS,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,2720,1948,MG-JENIPAPO DE MINAS
17167,2018,JEQUERI,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,6009,4040,MG-JEQUERI
1087,2018,JEQUITAI,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,3588,2440,MG-JEQUITAI
14510,2018,JEQUITIBA,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,3574,2104,MG-JEQUITIBA
3655,2018,JEQUITINHONHA,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,10043,7581,MG-JEQUITINHONHA
5077,2018,JESUANIA,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,2736,1634,MG-JESUANIA
12322,2018,JOANESIA,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,2700,1455,MG-JOANESIA
2775,2018,JOAQUIM FELICIO,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,1948,1089,MG-JOAQUIM FELICIO
4254,2018,JOAIMA,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,5942,4454,MG-JOAIMA
17158,2018,JORDANIA,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,4547,2911,MG-JORDANIA
8688,2018,JOSENOPOLIS,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,1753,1302,MG-JOSENOPOLIS
5127,2018,JOSE GONCALVES DE MINAS,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,2016,1384,MG-JOSE GONCALVES DE MINAS
14587,2018,JOSE RAYDAN,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,2275,1485,MG-JOSE RAYDAN
12850,2018,JOAO MONLEVADE,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,38894,23443,MG-JOAO MONLEVADE
15069,2018,JOAO PINHEIRO,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,22710,12632,MG-JOAO PINHEIRO
2395,2018,JUATUBA,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,14016,8705,MG-JUATUBA
16327,2018,JUIZ DE FORA,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,277570,145333,MG-JUIZ DE FORA
15845,2018,JURAMENTO,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,2942,1937,MG-JURAMENTO
12111,2018,JURUAIA,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,5726,3899,MG-JURUAIA
2218,2018,JUVENILIA,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,3306,2315,MG-JUVENILIA
3895,2018,LADAINHA,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,5793,3900,MG-LADAINHA
11762,2018,LAGAMAR,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,4407,2741,MG-LAGAMAR
6550,2018,LAGOA DA PRATA,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,23730,17088,MG-LAGOA DA PRATA
9330,2018,LAGOA DOS PATOS,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,2223,1324,MG-LAGOA DOS PATOS
14902,2018,LAGOA DOURADA,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,6636,3872,MG-LAGOA DOURADA
17173,2018,LAGOA FORMOSA,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,9699,6109,MG-LAGOA FORMOSA
14775,2018,LAGOA GRANDE,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,4799,2492,MG-LAGOA GRANDE
9407,2018,LAGOA SANTA,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,31389,22301,MG-LAGOA SANTA
8971,2018,LAJINHA,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,10295,5410,MG-LAJINHA
4506,2018,LAMBARI,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,11047,7841,MG-LAMBARI
10847,2018,LAMIM,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,2226,1473,MG-LAMIM
13433,2018,LARANJAL,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,3958,2135,MG-LARANJAL
612,2018,LASSANCE,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,3265,2086,MG-LASSANCE
4332,2018,LAVRAS,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,48554,31119,MG-LAVRAS
15635,2018,LEANDRO FERREIRA,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,2204,1412,MG-LEANDRO FERREIRA
8077,2018,LEME DO PRADO,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,2357,1581,MG-LEME DO PRADO
7534,2018,LEOPOLDINA,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,27052,14278,MG-LEOPOLDINA
9771,2018,LIBERDADE,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,2832,1604,MG-LIBERDADE
8402,2018,LIMA DUARTE,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,9530,6084,MG-LIMA DUARTE
1161,2018,LIMEIRA DO OESTE,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,4176,2345,MG-LIMEIRA DO OESTE
5494,2018,LONTRA,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,4744,3635,MG-LONTRA
260,2018,LUISBURGO,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,3678,2070,MG-LUISBURGO
1330,2018,LUISLANDIA,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,3726,3156,MG-LUISLANDIA
8804,2018,LUMINARIAS,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,2827,1427,MG-LUMINARIAS
5431,2018,LUZ,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,9171,6385,MG-LUZ
4267,2018,MACHACALIS,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,3541,2261,MG-MACHACALIS
1704,2018,MACHADO,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,20249,14841,MG-MACHADO
14761,2018,MADRE DE DEUS DE MINAS,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,2838,1516,MG-MADRE DE DEUS DE MINAS
646,2018,MALACACHETA,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,8151,5125,MG-MALACACHETA
7035,2018,MAMONAS,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,3748,2579,MG-MAMONAS
12053,2018,MANGA,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,9259,6273,MG-MANGA
10399,2018,MANHUACU,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,38945,23678,MG-MANHUACU
16723,2018,MANHUMIRIM,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,10792,6019,MG-MANHUMIRIM
5760,2018,MANTENA,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,13057,8368,MG-MANTENA
84,2018,MAR DE ESPANHA,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,6894,3904,MG-MAR DE ESPANHA
5436,2018,MARAVILHAS,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,4305,2566,MG-MARAVILHAS
11045,2018,MARIA DA FE,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,8646,6279,MG-MARIA DA FE
6725,2018,MARIANA,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,31765,19882,MG-MARIANA
14905,2018,MARILAC,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,2388,1419,MG-MARILAC
5190,2018,MARIPA DE MINAS,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,2088,1132,MG-MARIPA DE MINAS
9987,2018,MARLIERIA,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,2777,1526,MG-MARLIERIA
8012,2018,MARMELOPOLIS,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,1853,1091,MG-MARMELOPOLIS
15667,2018,MARTINHO CAMPOS,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,7015,4689,MG-MARTINHO CAMPOS
3580,2018,MARTINS SOARES,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,4535,2488,MG-MARTINS SOARES
2348,2018,MATA VERDE,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,4078,2348,MG-MATA VERDE
5241,2018,MATERLANDIA,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,2145,1602,MG-MATERLANDIA
8709,2018,MATEUS LEME,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,15840,10341,MG-MATEUS LEME
16922,2018,MATHIAS LOBATO,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,1774,937,MG-MATHIAS LOBATO
6988,2018,MATIAS BARBOSA,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,8189,4128,MG-MATIAS BARBOSA
10318,2018,MATIAS CARDOSO,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,3933,3074,MG-MATIAS CARDOSO
7697,2018,MATIPO,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,9791,5295,MG-MATIPO
10060,2018,MATO VERDE,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,7030,4341,MG-MATO VERDE
867,2018,MATOZINHOS,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,19592,11934,MG-MATOZINHOS
3726,2018,MATUTINA,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,2141,1343,MG-MATUTINA
7971,2018,MEDEIROS,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,2002,1243,MG-MEDEIROS
5071,2018,MEDINA,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,9496,6181,MG-MEDINA
6124,2018,MENDES PIMENTEL,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,3263,1776,MG-MENDES PIMENTEL
452,2018,MERCES,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,5570,3538,MG-MERCES
7801,2018,MESQUITA,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,3128,1795,MG-MESQUITA
4217,2018,MINAS NOVAS,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,10956,8750,MG-MINAS NOVAS
2826,2018,MINDURI,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,2089,1326,MG-MINDURI
1022,2018,MIRABELA,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,6656,4509,MG-MIRABELA
4794,2018,MIRADOURO,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,5411,3008,MG-MIRADOURO
2109,2018,MIRAVANIA,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,2145,1623,MG-MIRAVANIA
3849,2018,MIRAI,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,6811,3940,MG-MIRAI
9891,2018,MOEDA,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,3491,2075,MG-MOEDA
14366,2018,MOEMA,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,4111,2669,MG-MOEMA
9062,2018,MONJOLOS,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,1332,813,MG-MONJOLOS
4899,2018,MONSENHOR PAULO,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,4547,2719,MG-MONSENHOR PAULO
1562,2018,MONTALVANIA,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,7506,5201,MG-MONTALVANIA
8215,2018,MONTE ALEGRE DE MINAS,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,9542,5042,MG-MONTE ALEGRE DE MINAS
16575,2018,MONTE AZUL,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,11820,7382,MG-MONTE AZUL
14950,2018,MONTE BELO,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,7008,4100,MG-MONTE BELO
10052,2018,MONTE CARMELO,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,23703,12586,MG-MONTE CARMELO
11034,2018,MONTE FORMOSO,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,2397,1784,MG-MONTE FORMOSO
15427,2018,MONTE SANTO DE MINAS,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,10477,6756,MG-MONTE SANTO DE MINAS
16854,2018,MONTE SIAO,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,12527,10372,MG-MONTE SIAO
7580,2018,MONTES CLAROS,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,186782,108640,MG-MONTES CLAROS
13227,2018,MONTEZUMA,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,3383,2369,MG-MONTEZUMA
17340,2018,MORADA NOVA DE MINAS,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,4441,2728,MG-MORADA NOVA DE MINAS
5237,2018,MORRO DA GARCA,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,1648,1137,MG-MORRO DA GARCA
15495,2018,MORRO DO PILAR,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,1980,1312,MG-MORRO DO PILAR
1792,2018,MUNHOZ,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,4037,2597,MG-MUNHOZ
15121,2018,MURIAE,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,52333,31027,MG-MURIAE
12418,2018,MUTUM,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,13756,7666,MG-MUTUM
10346,2018,MUZAMBINHO,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,12048,7513,MG-MUZAMBINHO
5867,2018,MARIO CAMPOS,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,7569,4822,MG-MARIO CAMPOS
16867,2018,NACIP RAYDAN,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,1633,1075,MG-NACIP RAYDAN
3982,2018,NANUQUE,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,17486,9270,MG-NANUQUE
2815,2018,NAQUE,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,3244,1633,MG-NAQUE
16427,2018,NATALANDIA,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,1921,1247,MG-NATALANDIA
10907,2018,NATERCIA,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,2687,1938,MG-NATERCIA
4904,2018,NAZARENO,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,4173,2272,MG-NAZARENO
7926,2018,NEPOMUCENO,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,13035,8297,MG-NEPOMUCENO
9346,2018,NINHEIRA,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,4081,2546,MG-NINHEIRA
5737,2018,NOVA BELEM,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,2221,1172,MG-NOVA BELEM
15183,2018,NOVA ERA,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,9658,5057,MG-NOVA ERA
12248,2018,NOVA LIMA,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,49044,29780,MG-NOVA LIMA
4032,2018,NOVA MODICA,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,2222,1301,MG-NOVA MODICA
16835,2018,NOVA PONTE,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,7570,4062,MG-NOVA PONTE
12685,2018,NOVA PORTEIRINHA,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,3905,2539,MG-NOVA PORTEIRINHA
13060,2018,NOVA RESENDE,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,8660,5797,MG-NOVA RESENDE
16242,2018,NOVA SERRANA,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,39088,30914,MG-NOVA SERRANA
12623,2018,NOVA UNIAO,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,3393,1781,MG-NOVA UNIAO
3612,2018,NOVO CRUZEIRO,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,11790,8607,MG-NOVO CRUZEIRO
6298,2018,NOVO ORIENTE DE MINAS,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,4618,3303,MG-NOVO ORIENTE DE MINAS
13302,2018,NOVORIZONTE,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,2728,1705,MG-NOVORIZONTE
1208,2018,OLARIA,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,1435,938,MG-OLARIA
7381,2018,OLHOS D'AGUA,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,3095,2387,MG-OLHOS D'AGUA
4036,2018,OLIVEIRA,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,21732,13844,MG-OLIVEIRA
12481,2018,OLIVEIRA FORTES,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,1511,1068,MG-OLIVEIRA FORTES
7881,2018,OLIMPIO NORONHA,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,1643,836,MG-OLIMPIO NORONHA
15742,2018,ONCA DE PITANGUI,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,2159,1467,MG-ONCA DE PITANGUI
9328,2018,ORATORIOS,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,2696,1950,MG-ORATORIOS
2332,2018,ORIZANIA,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,4106,2481,MG-ORIZANIA
10576,2018,OURO BRANCO,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,20993,12198,MG-OURO BRANCO
4589,2018,OURO FINO,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,16749,13102,MG-OURO FINO
5615,2018,OURO PRETO,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,41390,26726,MG-OURO PRETO
15,2018,OURO VERDE DE MINAS,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,3688,2185,MG-OURO VERDE DE MINAS
14527,2018,PADRE CARVALHO,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,2524,1884,MG-PADRE CARVALHO
14369,2018,PADRE PARAISO,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,7613,4333,MG-PADRE PARAISO
9778,2018,PAI PEDRO,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,3142,2380,MG-PAI PEDRO
8318,2018,PAINEIRAS,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,2637,1383,MG-PAINEIRAS
2900,2018,PAINS,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,4628,2848,MG-PAINS
5842,2018,PAIVA,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,1098,673,MG-PAIVA
2135,2018,PALMA,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,3639,2147,MG-PALMA
9414,2018,PALMOPOLIS,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,3270,2222,MG-PALMOPOLIS
2310,2018,PAPAGAIOS,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,7962,4289,MG-PAPAGAIOS
15058,2018,PARACATU,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,40747,26622,MG-PARACATU
10752,2018,PARAGUACU,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,11539,7309,MG-PARAGUACU
3720,2018,PARAISOPOLIS,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,11056,8086,MG-PARAISOPOLIS
4738,2018,PARAOPEBA,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,12904,8101,MG-PARAOPEBA
3933,2018,PARA DE MINAS,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,43262,32428,MG-PARA DE MINAS
6479,2018,PASSA QUATRO,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,8935,5360,MG-PASSA QUATRO
345,2018,PASSA TEMPO,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,4478,2304,MG-PASSA TEMPO
1961,2018,PASSA VINTE,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,1424,791,MG-PASSA VINTE
4333,2018,PASSABEM,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,1094,563,MG-PASSABEM
