,Ano de eleição,Município,UF,Região,Turno,Nome candidato,Cargo,Votos válidos,Votos nominais,Estado_Municipio
4756,2018,PORTO WALTER,AC,NORTE,2,JAIR MESSIAS BOLSONARO,Presidente,3105,1897,AC-PORTO WALTER
15698,2018,RIO BRANCO,AC,NORTE,2,JAIR MESSIAS BOLSONARO,Presidente,191201,158264,AC-RIO BRANCO
79,2018,RODRIGUES ALVES,AC,NORTE,2,JAIR MESSIAS BOLSONARO,Presidente,6444,4762,AC-RODRIGUES ALVES
16440,2018,SANTA ROSA DO PURUS,AC,NORTE,2,FERNANDO HADDAD,Presidente,1822,975,AC-SANTA ROSA DO PURUS
5774,2018,SENA MADUREIRA,AC,NORTE,2,JAIR MESSIAS BOLSONARO,Presidente,15762,12051,AC-SENA MADUREIRA
3158,2018,SENADOR GUIOMARD,AC,NORTE,2,JAIR MESSIAS BOLSONARO,Presidente,12699,10247,AC-SENADOR GUIOMARD
7903,2018,TARAUACA,AC,NORTE,2,JAIR MESSIAS BOLSONARO,Presidente,13559,8292,AC-TARAUACA
5668,2018,XAPURI,AC,NORTE,2,JAIR MESSIAS BOLSONARO,Presidente,8329,4929,AC-XAPURI
6164,2018,ANADIA,AL,NORDESTE,2,FERNANDO HADDAD,Presidente,7893,6182,AL-ANADIA
11744,2018,ARAPIRACA,AL,NORDESTE,2,FERNANDO HADDAD,Presidente,105130,56755,AL-ARAPIRACA
7158,2018,ATALAIA,AL,NORDESTE,2,FERNANDO HADDAD,Presidente,19811,13524,AL-ATALAIA
13107,2018,BARRA DE SANTO ANTONIO,AL,NORDESTE,2,FERNANDO HADDAD,Presidente,7816,4923,AL-BARRA DE SANTO ANTONIO
12898,2018,BARRA DE SAO MIGUEL,AL,NORDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,4746,2400,AL-BARRA DE SAO MIGUEL
3355,2018,BATALHA,AL,NORDESTE,2,FERNANDO HADDAD,Presidente,8333,6261,AL-BATALHA
8992,2018,BELO MONTE,AL,NORDESTE,2,FERNANDO HADDAD,Presidente,3414,2928,AL-BELO MONTE
